canonical_question_id,examiner,tier
QB2_A#q1,Senthil,inferred
QB2_A#q10,Senthil,inferred
QB2_A#q11,Senthil,inferred
QB2_A#q12,Senthil,inferred
QB2_A#q14,Senthil,inferred
QB2_A#q15,Senthil,inferred
QB2_A#q19,Senthil,inferred
QB2_A#q2,Senthil,inferred
QB2_A#q22,Senthil,inferred
QB2_A#q23,Senthil,inferred
QB2_A#q24,Senthil,inferred
QB2_A#q25,Senthil,inferred
QB2_A#q26,Senthil,inferred
QB2_A#q27,Senthil,inferred
QB2_A#q28,Senthil,inferred
QB2_A#q29,Senthil,inferred
QB2_A#q3,Senthil,inferred
QB2_A#q30,Senthil,inferred
QB2_C#q1,Senthil,inferred
QB2_C#q2,Senthil,inferred
QB2_C#q3,Senthil,inferred
QB2_C#q4,Senthil,inferred
QB2_F#q2,Senthil,inferred
QB2_F#q4,Senthil,inferred
QB2_F#q5,Senthil,inferred
QB2_F#q6,Senthil,inferred
QB2_A#q1,Simon,inferred
QB2_A#q10,Simon,inferred
QB2_A#q11,Simon,inferred
QB2_A#q12,Simon,inferred
QB2_A#q14,Simon,inferred
QB2_A#q15,Simon,inferred
QB2_A#q19,Simon,inferred
QB2_A#q2,Simon,inferred
QB2_A#q22,Simon,inferred
QB2_A#q23,Simon,inferred
QB2_A#q24,Simon,inferred
QB2_A#q25,Simon,inferred
QB2_A#q26,Simon,inferred
QB2_A#q27,Simon,inferred
QB2_A#q28,Simon,inferred
QB2_A#q29,Simon,inferred
QB2_A#q3,Simon,inferred
QB2_A#q30,Simon,inferred
QB2_C#q1,Simon,inferred
QB2_C#q2,Simon,inferred
QB2_C#q3,Simon,inferred
QB2_C#q4,Simon,inferred
QB2_F#q2,Simon,inferred
QB2_F#q4,Simon,inferred
QB2_F#q5,Simon,inferred
QB5_A#q11,Simon,inferred
QB5_A#q13,Simon,inferred
QB5_A#q14,Simon,inferred
QB5_A#q20,Simon,inferred
QB5_A#q4,Simon,inferred
QB5_A#q9,Simon,inferred
QB5_B#q10,Simon,inferred
QB5_B#q12,Simon,inferred
QB5_B#q14,Simon,inferred
QB5_B#q15,Simon,inferred
QB5_B#q16,Simon,inferred
QB5_B#q2,Simon,inferred
QB5_B#q3,Simon,inferred
QB5_B#q4,Simon,inferred
QB5_B#q5,Simon,inferred
QB5_C_A#q1,Simon,inferred
QB5_C_A#q2,Simon,inferred
QB5_C_A#q3,Simon,inferred
QB5_C_A#q4,Simon,inferred
QB5_C_A#q5,Simon,inferred
QB5_C_A#q6,Simon,inferred
QB5_C_A#q9,Simon,inferred
QB5_C_B#q1,Simon,inferred
QB5_G#q1,Simon,inferred
QB5_G#q2,Simon,inferred
QB5_G#q3,Simon,inferred
QB5_G#q4,Simon,inferred
QB5_G#q5,Simon,inferred
QB3_A#q1,Srivastava,inferred
QB3_A#q12,Srivastava,inferred
QB3_A#q14,Srivastava,inferred
QB3_A#q16,Srivastava,inferred
QB3_A#q17,Srivastava,inferred
QB3_A#q2,Srivastava,inferred
QB3_A#q4,Srivastava,inferred
QB3_A#q6,Srivastava,inferred
QB3_A#q7,Srivastava,inferred
QB3_A#q9,Srivastava,inferred
QB3_B#q1,Srivastava,inferred
QB3_B#q10,Srivastava,inferred
QB3_B#q12,Srivastava,inferred
QB3_B#q17,Srivastava,inferred
QB3_B#q19,Srivastava,inferred
QB3_B#q2,Srivastava,inferred
QB3_B#q3,Srivastava,inferred
QB3_B#q4,Srivastava,inferred
QB3_B#q5,Srivastava,inferred
QB3_B#q6,Srivastava,inferred
QB3_B#q7,Srivastava,inferred
QB3_B#q8,Srivastava,inferred
QB3_B#q9,Srivastava,inferred
QB3_C#q4,Srivastava,inferred
QB3_F#q1,Srivastava,inferred
QB3_F#q3,Srivastava,inferred
QB3_F#q4,Srivastava,inferred
QB3_G#q3,Srivastava,inferred
QB3_G#q4,Srivastava,inferred
QB4_A#q1,Srivastava,inferred
QB4_A#q11,Srivastava,inferred
QB4_A#q12,Srivastava,inferred
QB4_A#q13,Srivastava,inferred
QB4_A#q14,Srivastava,inferred
QB4_A#q15,Srivastava,inferred
QB4_A#q16,Srivastava,inferred
QB4_A#q18,Srivastava,inferred
QB4_A#q2,Srivastava,inferred
QB4_A#q3,Srivastava,inferred
QB4_A#q6,Srivastava,inferred
QB4_A#q7,Srivastava,inferred
QB4_A#q8,Srivastava,inferred
QB4_B#q10,Srivastava,inferred
QB4_B#q11,Srivastava,inferred
QB4_B#q14,Srivastava,inferred
QB4_B#q16,Srivastava,inferred
QB4_B#q2,Srivastava,inferred
QB4_B#q4,Srivastava,inferred
QB4_B#q5,Srivastava,inferred
QB4_B#q6,Srivastava,inferred
QB4_B#q7,Srivastava,inferred
QB4_B#q9,Srivastava,inferred
QB4_G#q1,Srivastava,inferred
QB4_G#q2,Srivastava,inferred
QB4_G#q3,Srivastava,inferred
QB4_G#q4,Srivastava,inferred
QB4_G#q5,Srivastava,inferred
QB4_G#q6,Srivastava,inferred
QB4_G#q7,Srivastava,inferred
QB4_G#q8,Srivastava,inferred
QB4_G#q9,Srivastava,inferred
QB4_H#q10,Srivastava,inferred
QB4_H#q11,Srivastava,inferred
QB4_H#q2,Srivastava,inferred
QB4_H#q3,Srivastava,inferred
QB4_H#q4,Srivastava,inferred
QB4_H#q5,Srivastava,inferred
QB4_H#q6,Srivastava,inferred
QB4_H#q7,Srivastava,inferred
QB4_H#q8,Srivastava,inferred
QB4_H#q9,Srivastava,inferred
QB6#q4,Srivastava,inferred
QB6_E#q1,Srivastava,inferred
QB6_E#q2,Srivastava,inferred
QB6_E#q3,Srivastava,inferred
QB6_F#q1,Srivastava,inferred
QB6_F#q2,Srivastava,inferred
QB6_F#q3,Srivastava,inferred
QB6_F#q4,Srivastava,inferred
QB6_F#q5,Srivastava,inferred
QB7_C#q1,Srivastava,inferred
QB7_E#q4,Srivastava,inferred
QB7_F#q1,Srivastava,inferred
