canonical_question_id,classification,evidence_count,evidence_ids,examiner,question_text,url
QB5_G#q5,READY_CONNECTION,1,MASTER-AQ-0373,Rajappan,What is Sagar Mala project and Maritime Amritkal Vision?,/meoclass1/QB5_G.html#q5
QB7_F#q1,READY_CONNECTION,1,MASTER-AQ-0369,Rajappan,"Green, Grey, Blue and Red hydrogen — differentiate between each type.",/meoclass1/QB7_F.html#q1
QB4_I#q2,READY_CONNECTION,1,MASTER-AQ-0537,Senthil,"During an ISM audit, what is the first thing you show a surveyor as CE to demonstrate everything is in good order (PMS system)? How does the surveyor verify your PMS is genuinely in good order, and how does the surveyor know bunkering was carried out safely?",/meoclass1/QB4_I.html#q2
QB1_A#q28,READY_CONNECTION,1,MASTER-AQ-0237,Simon,Subrogation — Explain in context of marine insurance.,/meoclass1/QB1_A.html#q28
QB1_A#q7,READY_CONNECTION,1,JULY-NEW-051,Simon,Admiralty Law — Explain. How is the Chief Engineer related to the Admiralty Act?,/meoclass1/QB1_A.html#q7
QB1_I#q1,READY_CONNECTION,1,JULY-NEW-006,Simon,"What is the ESP Code, in full?",/meoclass1/QB1_I.html#q1
QB1_I#q3,READY_CONNECTION,1,MASTER-AQ-0546,Simon,"Relation between DWT, NT, GT and lightweight — how are they related?",/meoclass1/QB1_I.html#q3
QB1_I#q4,READY_CONNECTION,1,MASTER-AQ-0547,Simon,Anniversary date of a certificate — how is it defined and used?,/meoclass1/QB1_I.html#q4
QB2_H#q2,READY_CONNECTION,1,MASTER-AQ-0543,Simon,"Difference between water lance and 'hydropen' for internal container firefighting, and use of water monitors.",/meoclass1/QB2_H.html#q2
QB2_I#q2,READY_CONNECTION,1,JULY-NEW-129,Simon,"Fire in the CO₂ room — how do you fight it, and where is the relief valve outlet?",/meoclass1/QB2_I.html#q2
QB2_I#q4,READY_CONNECTION,1,JULY-NEW-131,Simon,CO₂ bottle pressure testing — what is the regime?,/meoclass1/QB2_I.html#q4
QB2_I#q5,READY_CONNECTION,1,JULY-NEW-134,Simon,What actions do you take if the emergency fire pump is not working during a Class survey?,/meoclass1/QB2_I.html#q5
QB3_F#q2,READY_CONNECTION,1,JULY-NEW-153,Simon,What statutory certificates are required under MARPOL Annex VI?,/meoclass1/QB3_F.html#q2
QB3_H#q1,READY_CONNECTION,1,MASTER-AQ-0070,Simon,What are a PSA and a PSSA? Give an example of each.,/meoclass1/QB3_H.html#q1
QB4_B#q7,READY_CONNECTION,1,JULY-NEW-041,Simon,What leadership qualities are expected of a Chief Engineer?,/meoclass1/QB4_B.html#q7
QB4_C#q11,READY_CONNECTION,1,MASTER-AQ-0259,Simon,PSC deficiency action codes?,/meoclass1/QB4_C.html#q11
QB4_C#q13,READY_CONNECTION,1,JULY-NEW-019,Simon,GISIS?,/meoclass1/QB4_C.html#q13
QB4_G#q1,READY_CONNECTION,1,MASTER-AQ-0076,Simon,flag state vs ro diffrence,/meoclass1/QB4_G.html#q1
QB4_G#q9,READY_CONNECTION,1,MASTER-AQ-0497,Simon,"OCIMF — what is it, tools of OCIMF and brief explanation of each.",/meoclass1/QB4_G.html#q9
QB4_I#q3,READY_CONNECTION,1,MASTER-AQ-0542,Simon,What is Safe Return to Port (SRtP)?,/meoclass1/QB4_I.html#q3
QB4_I#q4,READY_CONNECTION,1,MASTER-AQ-0544,Simon,III Code (IMO Instruments Implementation Code) — what does it say?,/meoclass1/QB4_I.html#q4
QB4_I#q5,READY_CONNECTION,1,MASTER-AQ-0545,Simon,What is the company's definition/role under maritime law (ISM Code Company definition)?,/meoclass1/QB4_I.html#q5
QB6_E#q3,READY_CONNECTION_MULTI_SOURCE,2,MASTER-AQ-0180;MASTER-AQ-0202,Simon,GFI Calculation and Unit (Duplicate/Deepened Focus),/meoclass1/QB6_E.html#q3
QB9_F#q10,READY_CONNECTION,1,JULY-NEW-157,Simon,Clear Grounds,/meoclass1/QB9_F.html#q10
QB9_F#q6,READY_CONNECTION,1,JULY-NEW-013,Simon,Cabotage Law,/meoclass1/QB9_F.html#q6
QB9_H#q11,READY_CONNECTION,1,JULY-NEW-050,Simon,Definitions of casualty as per the Merchant Shipping Act.,/meoclass1/QB9_H.html#q11
QB4_C#q5,READY_CONNECTION,1,MASTER-AQ-0416,Srivastava,Suspension vs withdrawal of class?,/meoclass1/QB4_C.html#q5
