row_index,examiner_slug,examiner_raw,tier,href,target_file,target_anchor,canonical_question_id,file_exists,anchor_exists,resolves_to_live_question,display_text,live_question_text,text_similarity,status,duplicate_pair
14,nair,Nair,confirmed,/meoclass1/QB1_F.html#q1,QB1_F.html,q1,QB1_F#q1,True,True,True,Any incident on your ship,Any incident on your ship,1.0,OK,False
15,nair,Nair,confirmed,/meoclass1/QB1_F.html#q2,QB1_F.html,q2,QB1_F#q2,True,True,True,All marpol related documents on your type of vessel,All marpol related documents on your type of vessel,1.0,OK,False
16,nair,Nair,confirmed,/meoclass1/QB1_F.html#q5,QB1_F.html,q5,QB1_F#q5,True,True,True,New technologies related to container ship and engine room machineries,New technologies related to container ship and engine room machineries,1.0,OK,False
17,nair,Nair,confirmed,/meoclass1/QB1_F.html#q7,QB1_F.html,q7,QB1_F#q7,True,True,True,Documents related to survey (for CE),Documents related to survey (for CE),1.0,OK,False
18,nair,Nair,confirmed,/meoclass1/QB1_F.html#q8,QB1_F.html,q8,QB1_F#q8,True,True,True,Hull survey,Hull survey,1.0,OK,False
19,nair,Nair,confirmed,/meoclass1/QB1_F.html#q9,QB1_F.html,q9,QB1_F#q9,True,True,True,"As CE, how will you reduce fuel consumption? Told him many points but he what something related to","As CE, how will you reduce fuel consumption? Told him many points but he what something related to",1.0,OK,False
20,nair,Nair,confirmed,/meoclass1/QB1_F.html#q10,QB1_F.html,q10,QB1_F#q10,True,True,True,"Prior to entering war risk area, vsl conducts a security drill. How will you evaluate the drill?","Prior to entering war risk area, vsl conducts a security drill. How will you evaluate the drill?",1.0,OK,False
21,nair,Nair,confirmed,/meoclass1/QB1_F.html#q11,QB1_F.html,q11,QB1_F#q11,True,True,True,Sea farer abodment lot of questions,Sea farer abodment lot of questions,1.0,OK,False
22,nair,Nair,confirmed,/meoclass1/QB1_F.html#q12,QB1_F.html,q12,QB1_F#q12,True,True,True,seafarer ms act welfare requirement,seafarer ms act welfare requirement,1.0,OK,False
23,nair,Nair,confirmed,/meoclass1/QB1_F.html#q17,QB1_F.html,q17,QB1_F#q17,True,True,True,"You're allotted a ship to join, how do you identify it is safe. (Refer to SEA)","You're allotted a ship to join, how do you identify it is safe. (Refer to SEA)",1.0,OK,False
24,nair,Nair,confirmed,/meoclass1/QB1_F.html#q18,QB1_F.html,q18,QB1_F#q18,True,True,True,Multimodal Act? Same advantages and disadvantages for ship owner / charterer,Multimodal Act? Same advantages and disadvantages for ship owner / charterer,1.0,OK,False
25,nair,Nair,confirmed,/meoclass1/QB1_G.html#q25,QB1_G.html,q25,QB1_G#q25,True,True,True,Latest amendment in STCW,Latest amendment in STCW,1.0,OK,False
26,nair,Nair,confirmed,/meoclass1/QB1_G.html#q26,QB1_G.html,q26,QB1_G#q26,True,True,True,High voltage course done? - how vacuum breaker earthing is different.,High voltage course done? - how vacuum breaker earthing is different.,1.0,OK,False
27,nair,Nair,confirmed,/meoclass1/QB1_G.html#q30,QB1_G.html,q30,QB1_G#q30,True,True,True,⁠Esp complete,⁠Esp complete,1.0,OK,False
28,nair,Nair,confirmed,/meoclass1/QB1_G.html#q33,QB1_G.html,q33,QB1_G#q33,True,True,True,Chemical tanker construction difference for each type,Chemical tanker construction difference for each type,1.0,OK,False
29,nair,Nair,confirmed,/meoclass1/QB1_G.html#q34,QB1_G.html,q34,QB1_G#q34,True,True,True,Certificate of fitness details and content,Certificate of fitness details and content,1.0,OK,False
30,nair,Nair,confirmed,/meoclass1/QB1_G.html#q40,QB1_G.html,q40,QB1_G#q40,True,True,True,"CSM (Condition Survey Method) survey — explain the concept, when it applies, and what is assessed.","CSM (Condition Survey Method) survey — explain the concept, when it applies, and what is assessed.",1.0,OK,False
31,nair,Nair,confirmed,/meoclass1/QB1_H.html#q1,QB1_H.html,q1,QB1_H#q1,True,True,True,What is IACS Procedural Requirement (PR) 17 and when does it apply?,What is IACS Procedural Requirement (PR) 17 and when does it apply?,1.0,OK,False
32,nair,Nair,confirmed,/meoclass1/QB1_H.html#q2,QB1_H.html,q2,QB1_H#q2,True,True,True,What is IACS Procedural Requirement (PR) 9 and how does it standardise ISM Code certification?,What is IACS Procedural Requirement (PR) 9 and how does it standardise ISM Code certification?,1.0,OK,False
33,nair,Nair,confirmed,/meoclass1/QB1_I.html#q1,QB1_I.html,q1,QB1_I#q1,True,True,True,"What is the ESP Code, in full?","What is the ESP Code, in full?",1.0,OK,False
34,nair,Nair,confirmed,/meoclass1/QB1_I.html#q2,QB1_I.html,q2,QB1_I#q2,True,True,True,How will you register a second-hand ship acquisition in India?,How will you register a second-hand ship acquisition in India?,1.0,OK,False
35,nair,Nair,confirmed,/meoclass1/QB1_I.html#q5,QB1_I.html,q5,QB1_I#q5,True,True,True,Explain any renewal survey in detail as Chief Engineer.,Explain any renewal survey in detail as Chief Engineer.,1.0,OK,False
36,nair,Nair,confirmed,/meoclass1/QB1_I.html#q6,QB1_I.html,q6,QB1_I#q6,True,True,True,IACS — what are its functions?,IACS — what are its functions?,1.0,OK,False
37,nair,Nair,confirmed,/meoclass1/QB1_K.html#q4,QB1_K.html,q4,QB1_K#q4,True,True,True,"What is the recent trend in large container ship size, and why?","What is the recent trend in large container ship size, and why?",1.0,OK,False
38,nair,Nair,confirmed,/meoclass1/QB1_supplementary.html#q4,QB1_supplementary.html,q4,QB1_supplementary#q4,True,True,True,Explain the CMS (Continuous Machinery Survey) scope. What can the CE survey? What must class surveyors survey? What is NOT covered by CMS?,Explain the CMS (Continuous Machinery Survey) scope. What can the CE survey? What must class surveyors survey? What is NOT covered by CMS?,1.0,OK,False
39,nair,Nair,confirmed,/meoclass1/QB1_supplementary.html#q6,QB1_supplementary.html,q6,QB1_supplementary#q6,True,True,True,IOPP Survey preparation as Chief Engineer — complete checklist.,IOPP Survey preparation as Chief Engineer — complete checklist.,1.0,OK,False
40,nair,Nair,confirmed,/meoclass1/QB2_A.html#q4,QB2_A.html,q4,QB2_A#q4,True,True,True,"Container tracking — who tracks them, for what purpose, and what technology is used including ISO 6346.","Container tracking — who tracks them, for what purpose, and what technology is used including ISO 6346.",1.0,OK,False
41,nair,Nair,confirmed,/meoclass1/QB2_A.html#q5,QB2_A.html,q5,QB2_A#q5,True,True,True,Container lost at sea — what are all your actions as Chief Engineer?,Container lost at sea — what are all your actions as Chief Engineer?,1.0,OK,False
42,nair,Nair,confirmed,/meoclass1/QB2_A.html#q9,QB2_A.html,q9,QB2_A#q9,True,True,True,"IMDG Code — documents, certificates, marking, labelling, UN numbers, segregation codes, and latest amendments.","IMDG Code — documents, certificates, marking, labelling, UN numbers, segregation codes, and latest amendments.",1.0,OK,False
43,nair,Nair,confirmed,/meoclass1/QB2_B.html#q1,QB2_B.html,q1,QB2_B#q1,True,True,True,What documents and certificates are required when carrying IMDG cargo? Where do you find firefighting details for IMDG cargo?,What documents and certificates are required when carrying IMDG cargo? Where do you find firefighting details for IMDG cargo?,1.0,OK,False
44,nair,Nair,confirmed,/meoclass1/QB2_B.html#q2,QB2_B.html,q2,QB2_B#q2,True,True,True,"What are the requirements for a container securing arrangement, and what is a Safe Access Plan on a container ship?","What are the requirements for a container securing arrangement, and what is a Safe Access Plan on a container ship?",1.0,OK,False
45,nair,Nair,confirmed,/meoclass1/QB2_B.html#q4,QB2_B.html,q4,QB2_B#q4,True,True,True,"Give an overview of the IMDG Code — its structure, classes, and key features.","Give an overview of the IMDG Code — its structure, classes, and key features.",1.0,OK,False
46,nair,Nair,confirmed,/meoclass1/QB2_B.html#q5,QB2_B.html,q5,QB2_B#q5,True,True,True,"A container is found to be wrongly labelled and catches fire. What actions do you take, and how do you fight the fire? Reference the Wan Hai vessel fire incident off Cochin.","A container is found to be wrongly labelled and catches fire. What actions do you take, and how do you fight the fire? Reference the Wan Hai vessel fire incident off Cochin.",1.0,OK,False
47,nair,Nair,confirmed,/meoclass1/QB2_B.html#q7,QB2_B.html,q7,QB2_B#q7,True,True,True,"Explain the container shipping operational model: what is the difference between Liner, NVOCC, and VOCC, and what are the advantages/disadvantages of each?","Explain the container shipping operational model: what is the difference between Liner, NVOCC, and VOCC, and what are the advantages/disadvantages of each?",1.0,OK,False
48,nair,Nair,confirmed,/meoclass1/QB2_B.html#q8,QB2_B.html,q8,QB2_B#q8,True,True,True,"When a container fire occurs, how do you use the UN number to identify cargo-specific hazard symptoms, and how does this affect your firefighting approach?","When a container fire occurs, how do you use the UN number to identify cargo-specific hazard symptoms, and how does this affect your firefighting approach?",1.0,OK,False
49,nair,Nair,confirmed,/meoclass1/QB2_B.html#q9,QB2_B.html,q9,QB2_B#q9,True,True,True,"Explain the CSC (Container Safety Convention) inspection scheme in detail — covering the Periodic Examination Scheme (PES) and the Approved Continuous Examination Programme (ACEP), and what tests are carried out.","Explain the CSC (Container Safety Convention) inspection scheme in detail — covering the Periodic Examination Scheme (PES) and the Approved Continuous Examination Programme (ACEP), and what tests are carried out.",1.0,OK,False
50,nair,Nair,confirmed,/meoclass1/QB2_B.html#q10,QB2_B.html,q10,QB2_B#q10,True,True,True,"What are the latest SOLAS amendments regarding safety on container ships, specifically relating to portable water monitors — how many are required, on what basis is the number determined, and is a portable water monitor used for firefighting?","What are the latest SOLAS amendments regarding safety on container ships, specifically relating to portable water monitors — how many are required, on what basis is the number determined, and is a portable water monitor used for firefighting?",1.0,OK,False
51,nair,Nair,confirmed,/meoclass1/QB2_B.html#q11,QB2_B.html,q11,QB2_B#q11,True,True,True,"What is the Verified Gross Mass (VGM) of a container? What information must it contain, how do you ensure the VGM is correct, and who is responsible for declaring and deciding the container weight?","What is the Verified Gross Mass (VGM) of a container? What information must it contain, how do you ensure the VGM is correct, and who is responsible for declaring and deciding the container weight?",1.0,OK,False
52,nair,Nair,confirmed,/meoclass1/QB2_B.html#q15,QB2_B.html,q15,QB2_B#q15,True,True,True,"Give a full overview of the IMSBC Code — scope, cargo categories (A, B, C), schedule format, and key CE responsibilities.","Give a full overview of the IMSBC Code — scope, cargo categories (A, B, C), schedule format, and key CE responsibilities.",1.0,OK,False
53,nair,Nair,confirmed,/meoclass1/QB2_F.html#q1,QB2_F.html,q1,QB2_F#q1,True,True,True,What are the latest amendments governing carriage of IMDG cargo?,What are the latest amendments governing carriage of IMDG cargo?,1.0,OK,False
54,nair,Nair,confirmed,/meoclass1/QB2_F.html#q2,QB2_F.html,q2,QB2_F#q2,True,True,True,A container catches fire and the UN number shows different EmS symptoms — how do you approach and fight it?,A container catches fire and the UN number shows different EmS symptoms — how do you approach and fight it?,1.0,OK,False
55,nair,Nair,confirmed,/meoclass1/QB2_F.html#q3,QB2_F.html,q3,QB2_F#q3,True,True,True,What are the latest SOLAS Chapter II amendments and their key changes?,What are the latest SOLAS Chapter II amendments and their key changes?,1.0,OK,False
56,nair,Nair,confirmed,/meoclass1/QB2_F.html#q4,QB2_F.html,q4,QB2_F#q4,True,True,True,A fire breaks out in an undeclared dangerous goods container — how will you fight it?,A fire breaks out in an undeclared dangerous goods container — how will you fight it?,1.0,OK,False
57,nair,Nair,confirmed,/meoclass1/QB2_F.html#q5,QB2_F.html,q5,QB2_F#q5,True,True,True,"Explain the water mist lance and mobile water monitor: how to use them, on which fires, where the requirement is mentioned, and the functional requirements.","Explain the water mist lance and mobile water monitor: how to use them, on which fires, where the requirement is mentioned, and the functional requirements.",1.0,OK,False
58,nair,Nair,confirmed,/meoclass1/QB2_H.html#q1,QB2_H.html,q1,QB2_H#q1,True,True,True,What do the FSS Code and FTP Code contain?,What do the FSS Code and FTP Code contain?,1.0,OK,False
59,nair,Nair,confirmed,/meoclass1/QB3_A.html#q3,QB3_A.html,q3,QB3_A#q3,True,True,True,"What is a Ship Construction File, and what does it contain?","What is a Ship Construction File, and what does it contain?",1.0,OK,False
60,nair,Nair,confirmed,/meoclass1/QB3_A.html#q8,QB3_A.html,q8,QB3_A#q8,True,True,True,"What is a Loadicator, and what are the latest regulatory requirements/amendments concerning it?","What is a Loadicator, and what are the latest regulatory requirements/amendments concerning it?",1.0,OK,False
61,nair,Nair,confirmed,/meoclass1/QB3_A.html#q11,QB3_A.html,q11,QB3_A#q11,True,True,True,What are the steel plate renewal criteria for hull structural members?,What are the steel plate renewal criteria for hull structural members?,1.0,OK,False
62,nair,Nair,confirmed,/meoclass1/QB3_A.html#q13,QB3_A.html,q13,QB3_A#q13,True,True,True,What do you check during a ballast water tank inspection?,What do you check during a ballast water tank inspection?,1.0,OK,False
63,nair,Nair,confirmed,/meoclass1/QB3_C.html#q1,QB3_C.html,q1,QB3_C#q1,True,True,True,MARPOL Annex V latest amendments?,MARPOL Annex V latest amendments?,1.0,OK,False
64,nair,Nair,confirmed,/meoclass1/QB3_C.html#q5,QB3_C.html,q5,QB3_C#q5,True,True,True,Environmentally Sound Management (ESM) in shipping?,Environmentally Sound Management (ESM) in shipping?,1.0,OK,False
65,nair,Nair,confirmed,/meoclass1/QB3_D.html#q1,QB3_D.html,q1,QB3_D#q1,True,True,True,"Green passport (Inventory of Hazardous Materials) — what is it, what does it contain, and which convention requires it?","Green passport (Inventory of Hazardous Materials) — what is it, what does it contain, and which convention requires it?",1.0,OK,False
66,nair,Nair,confirmed,/meoclass1/QB3_F.html#q2,QB3_F.html,q2,QB3_F#q2,True,True,True,What statutory certificates are required under MARPOL Annex VI?,What statutory certificates are required under MARPOL Annex VI?,1.0,OK,False
67,nair,Nair,confirmed,/meoclass1/QB3_H.html#q6,QB3_H.html,q6,QB3_H#q6,True,True,True,MARPOL Annex II — contents and certificates required?,MARPOL Annex II — contents and certificates required?,1.0,OK,False
68,nair,Nair,confirmed,/meoclass1/QB4_A.html#q4,QB4_A.html,q4,QB4_A#q4,True,True,True,"Describe the internal audit procedure under the ISM Code. Who conducts it, what is checked, and what is the outcome?","Describe the internal audit procedure under the ISM Code. Who conducts it, what is checked, and what is the outcome?",1.0,OK,False
69,nair,Nair,confirmed,/meoclass1/QB4_A.html#q5,QB4_A.html,q5,QB4_A#q5,True,True,True,"Describe how a PSC inspection is conducted — how do officers board, what are the types and levels of inspection, and how are deficiency codes used?","Describe how a PSC inspection is conducted — how do officers board, what are the types and levels of inspection, and how are deficiency codes used?",1.0,OK,False
70,nair,Nair,confirmed,/meoclass1/QB4_A.html#q9,QB4_A.html,q9,QB4_A#q9,True,True,True,"Explain Condition of Class — what triggers it, types, and what is Suspension of Class? What is the CE's obligation?","Explain Condition of Class — what triggers it, types, and what is Suspension of Class? What is the CE's obligation?",1.0,OK,False
71,nair,Nair,confirmed,/meoclass1/QB4_A.html#q20,QB4_A.html,q20,QB4_A#q20,True,True,True,"What does SOLAS Chapter XII cover, and what are the latest amendments under MSC.520(106)?","What does SOLAS Chapter XII cover, and what are the latest amendments under MSC.520(106)?",1.0,OK,False
72,nair,Nair,confirmed,/meoclass1/QB4_B.html#q1,QB4_B.html,q1,QB4_B#q1,True,True,True,What does 'communication' mean as a human element principle in the context of ISM and shipboard safety management?,What does 'communication' mean as a human element principle in the context of ISM and shipboard safety management?,1.0,OK,False
73,nair,Nair,confirmed,/meoclass1/QB4_B.html#q3,QB4_B.html,q3,QB4_B#q3,True,True,True,"As per the Safety Management System, how is planned maintenance carried out onboard? What does the SMS require?","As per the Safety Management System, how is planned maintenance carried out onboard? What does the SMS require?",1.0,OK,False
74,nair,Nair,confirmed,/meoclass1/QB4_B.html#q13,QB4_B.html,q13,QB4_B#q13,True,True,True,What are the STCW training requirements for Junior Engineers (ratings and junior officer level) onboard?,What are the STCW training requirements for Junior Engineers (ratings and junior officer level) onboard?,1.0,OK,False
75,nair,Nair,confirmed,/meoclass1/QB4_B.html#q15,QB4_B.html,q15,QB4_B#q15,True,True,True,"Which ISPS security level do you apply when transiting the Persian Gulf area, and why? What are your responsibilities as CE at that level?","Which ISPS security level do you apply when transiting the Persian Gulf area, and why? What are your responsibilities as CE at that level?",1.0,OK,False
76,nair,Nair,confirmed,/meoclass1/QB4_B.html#q17,QB4_B.html,q17,QB4_B#q17,True,True,True,What actions and precautions do you take as Chief Engineer when sailing through a war risk area (e.g. Persian Gulf)?,What actions and precautions do you take as Chief Engineer when sailing through a war risk area (e.g. Persian Gulf)?,1.0,OK,False
77,nair,Nair,confirmed,/meoclass1/QB4_B.html#q18,QB4_B.html,q18,QB4_B#q18,True,True,True,"Your ship is stranded in the Persian Gulf / Strait of Hormuz due to active conflict. As Chief Engineer, how do you motivate and manage the crew?","Your ship is stranded in the Persian Gulf / Strait of Hormuz due to active conflict. As Chief Engineer, how do you motivate and manage the crew?",1.0,OK,False
78,nair,Nair,confirmed,/meoclass1/QB4_C.html#q1,QB4_C.html,q1,QB4_C#q1,True,True,True,Bunker shortage — CE step-by-step actions?,Bunker shortage — CE step-by-step actions?,1.0,OK,False
79,nair,Nair,confirmed,/meoclass1/QB4_C.html#q2,QB4_C.html,q2,QB4_C#q2,True,True,True,Internal ISM audit — how to conduct step by step?,Internal ISM audit — how to conduct step by step?,1.0,OK,False
80,nair,Nair,confirmed,/meoclass1/QB4_C.html#q3,QB4_C.html,q3,QB4_C#q3,True,True,True,SOLAS Chapter XI — what does it cover?,SOLAS Chapter XI — what does it cover?,1.0,OK,False
81,nair,Nair,confirmed,/meoclass1/QB4_C.html#q4,QB4_C.html,q4,QB4_C#q4,True,True,True,CSR and E-CSR — contents?,CSR and E-CSR — contents?,1.0,OK,False
82,nair,Nair,confirmed,/meoclass1/QB4_C.html#q8,QB4_C.html,q8,QB4_C#q8,True,True,True,Maintenance under the ISM Code?,Maintenance under the ISM Code?,1.0,OK,False
83,nair,Nair,confirmed,/meoclass1/QB4_C.html#q9,QB4_C.html,q9,QB4_C#q9,True,True,True,Emergency drills — ISM and SOLAS?,Emergency drills — ISM and SOLAS?,1.0,OK,False
84,nair,Nair,confirmed,/meoclass1/QB4_C.html#q11,QB4_C.html,q11,QB4_C#q11,True,True,True,PSC deficiency action codes?,PSC deficiency action codes?,1.0,OK,False
85,nair,Nair,confirmed,/meoclass1/QB4_C.html#q14,QB4_C.html,q14,QB4_C#q14,True,True,True,"INTERTANKO, OCIMF and ISGOTT?","INTERTANKO, OCIMF and ISGOTT?",1.0,OK,False
86,nair,Nair,confirmed,/meoclass1/QB4_C.html#q15,QB4_C.html,q15,QB4_C#q15,True,True,True,RO Code?,RO Code?,1.0,OK,False
87,nair,Nair,confirmed,/meoclass1/QB4_C.html#q17,QB4_C.html,q17,QB4_C#q17,True,True,True,GBS — Goal Based Standards?,GBS — Goal Based Standards?,1.0,OK,False
88,nair,Nair,confirmed,/meoclass1/QB4_D.html#q1,QB4_D.html,q1,QB4_D#q1,True,True,True,MS Act 2025 — why was it enacted? What are the key differences from the Merchant Shipping Act 1958?,MS Act 2025 — why was it enacted? What are the key differences from the Merchant Shipping Act 1958?,1.0,OK,False
89,nair,Nair,confirmed,/meoclass1/QB4_D.html#q2,QB4_D.html,q2,QB4_D#q2,True,True,True,"Types of ship layup — explain cold layup, warm layup, and hot layup. Key differences and CE actions.","Types of ship layup — explain cold layup, warm layup, and hot layup. Key differences and CE actions.",1.0,OK,False
90,nair,Nair,confirmed,/meoclass1/QB4_D.html#q3,QB4_D.html,q3,QB4_D#q3,True,True,True,"Taking over a vessel in cold layup — as CE, how will you proceed? Step by step.","Taking over a vessel in cold layup — as CE, how will you proceed? Step by step.",1.0,OK,False
91,nair,Nair,confirmed,/meoclass1/QB4_E.html#q11,QB4_E.html,q11,QB4_E#q11,True,True,True,Class notations of your vessel — list and explain each notation.,Class notations of your vessel — list and explain each notation.,1.0,OK,False
92,nair,Nair,confirmed,/meoclass1/QB4_G.html#q2,QB4_G.html,q2,QB4_G#q2,True,True,True,Isps and ssp contents,Isps and ssp contents,1.0,OK,False
93,nair,Nair,confirmed,/meoclass1/QB4_G.html#q4,QB4_G.html,q4,QB4_G#q4,True,True,True,"During dry dock, how will you calculate manpower requirement for the job list?","During dry dock, how will you calculate manpower requirement for the job list?",1.0,OK,False
94,nair,Nair,confirmed,/meoclass1/QB4_G.html#q5,QB4_G.html,q5,QB4_G#q5,True,True,True,Dry dock preparation as CE — steps and documents. What is the dry dock interval?,Dry dock preparation as CE — steps and documents. What is the dry dock interval?,1.0,OK,False
95,nair,Nair,confirmed,/meoclass1/QB4_G.html#q6,QB4_G.html,q6,QB4_G#q6,True,True,True,Casualty investigation — who investigates? Contents of a casualty investigation report.,Casualty investigation — who investigates? Contents of a casualty investigation report.,1.0,OK,False
96,nair,Nair,confirmed,/meoclass1/QB4_G.html#q7,QB4_G.html,q7,QB4_G#q7,True,True,True,Hull damage or oil pollution incident — as CE how will you proceed? Step by step.,Hull damage or oil pollution incident — as CE how will you proceed? Step by step.,1.0,OK,False
97,nair,Nair,confirmed,/meoclass1/QB5_A.html#q5,QB5_A.html,q5,QB5_A#q5,True,True,True,Motivation of Crew — Principles of Motivation.,Motivation of Crew — Principles of Motivation.,1.0,OK,False
98,nair,Nair,confirmed,/meoclass1/QB5_A.html#q6,QB5_A.html,q6,QB5_A#q6,True,True,True,Conflict Management — Explain with Cross Questions.,Conflict Management — Explain with Cross Questions.,1.0,OK,False
99,nair,Nair,confirmed,/meoclass1/QB5_A.html#q7,QB5_A.html,q7,QB5_A#q7,True,True,True,Total Quality Management (TQM) — Explain.,Total Quality Management (TQM) — Explain.,1.0,OK,False
100,nair,Nair,confirmed,/meoclass1/QB5_A.html#q12,QB5_A.html,q12,QB5_A#q12,True,True,True,Root Cause Analysis / Fault Analysis Methods.,Root Cause Analysis / Fault Analysis Methods.,1.0,OK,False
101,nair,Nair,confirmed,/meoclass1/QB5_A.html#q15,QB5_A.html,q15,QB5_A#q15,True,True,True,Mentoring / Reverse Mentoring — What is Mentoring?,Mentoring / Reverse Mentoring — What is Mentoring?,1.0,OK,False
102,nair,Nair,confirmed,/meoclass1/QB5_B.html#q1,QB5_B.html,q1,QB5_B#q1,True,True,True,Taking Over as CE — Procedure.,Taking Over as CE — Procedure.,1.0,OK,False
103,nair,Nair,confirmed,/meoclass1/QB5_B.html#q6,QB5_B.html,q6,QB5_B#q6,True,True,True,Fatigue as per IMO and Fatigue Mitigation.,Fatigue as per IMO and Fatigue Mitigation.,1.0,OK,False
104,nair,Nair,confirmed,/meoclass1/QB5_C_A.html#q2,QB5_C_A.html,q2,QB5_C_A#q2,True,True,True,Training Chinese crew — language and culture barriers?,Training Chinese crew — language and culture barriers?,1.0,OK,False
105,nair,Nair,confirmed,/meoclass1/QB5_C_A.html#q3,QB5_C_A.html,q3,QB5_C_A#q3,True,True,True,Voyage performance checks — what basic check is most often missed?,Voyage performance checks — what basic check is most often missed?,1.0,OK,False
106,nair,Nair,confirmed,/meoclass1/QB5_C_A.html#q5,QB5_C_A.html,q5,QB5_C_A#q5,True,True,True,MIS vs data — what is a Management Information System?,MIS vs data — what is a Management Information System?,1.0,OK,False
107,nair,Nair,confirmed,/meoclass1/QB5_C_A.html#q6,QB5_C_A.html,q6,QB5_C_A#q6,True,True,True,"Hazard identification — HAZID, HAZOP, JSA and Risk Assessment matrix?","Hazard identification — HAZID, HAZOP, JSA and Risk Assessment matrix?",1.0,OK,False
108,nair,Nair,confirmed,/meoclass1/QB5_C_A.html#q7,QB5_C_A.html,q7,QB5_C_A#q7,True,True,True,On-board training — how do you design and deliver it step by step?,On-board training — how do you design and deliver it step by step?,1.0,OK,False
109,nair,Nair,confirmed,/meoclass1/QB5_C_B.html#q4,QB5_C_B.html,q4,QB5_C_B#q4,True,True,True,Ear muff selection criteria (occupational health),Ear muff selection criteria (occupational health),1.0,OK,False
110,nair,Nair,confirmed,/meoclass1/QB5_C_B.html#q7,QB5_C_B.html,q7,QB5_C_B#q7,True,True,True,Occupational health and safety — CE obligations,Occupational health and safety — CE obligations,1.0,OK,False
111,nair,Nair,confirmed,/meoclass1/QB5_D.html#q1,QB5_D.html,q1,QB5_D#q1,True,True,True,Is the Chief Engineer a leader? Explain — what specific leadership qualities must a CE demonstrate?,Is the Chief Engineer a leader? Explain — what specific leadership qualities must a CE demonstrate?,1.0,OK,False
