canonical_question_id,defect_class,evidence_id,examiner,legacy_claimed_text,legacy_confidence,live_question,source_vs_live,source_wording
QB9_C#q1,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0026,Senthil,IMDG DG cargo documents?,manual,Constructive total loss — define and explain the criteria for declaring CTL in marine insurance.,0.0,He also asked about imdg cargo docs and certificates
QB9_A#q3,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0031,Simon,"QB9_A - Part of Q3. Fund Convention- explanation and why introduced. HNS Convention - for whom, in force or not, HNS protocol. LLMV - limits, who pays within and after incident.QB1_A - Q2. Fund convention - explain in detail.",,"Fund Convention — explanation and why introduced. HNS Convention — for whom, in force or not, HNS Protocol. LLMC — limits, who pays within and after l",0.143,⁠Fund convention.
QB1_A#q4,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0033,Simon,"QB1_A - Q4. Bunker Convention 2001 - explain in detail. Why was it required despite CLC?, QB9_A - Part of Q2.CLC convention - explain fully including limits. Bunker convention - why is it needed despite CLC?",,Bunker Convention 2001 — Explain in detail. Why was it required despite CLC?,0.286,⁠Bunker convention.
QB9_B#q7,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0034,Simon,"QB9_B - Q1. CAS, CAP & Liability types, also in Q7, CAS nad CAP - detailed comparison and application for senior engineers.",,CAS and CAP — detailed comparison and application for senior engineers.,0.286,⁠Cas and Cap.
QB2_A#q13,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0035,Simon,Cohesive cargo &mdash; definition. Can you carry logs in a bulk carrier and what are the precautions?,manual,Cohesive cargo — definition. Can you carry logs in a bulk carrier and what are the precautions?,0.2,⁠Cohesive cargo means what.
QB4_H#q1,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0037,Simon,Q1,"High (session-verified, direct build)",What is the AECS course and who is required to do it?,0.0,⁠FLL
QB9_A#q5,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0039,Simon,"QB9_A - Q5. Admiralty law - what is it? What is a maritime lien? How is the CE related to the Admiralty Act?, QB1_A - Q7. Admiralty Law- Explain. How is the chief engineer related to the Admiralty Act?, QB1_B - Q3. Give an overview of Admiralty Law as it applies to a ship - cover Maritime Lien, Tort, and Statutory Liability.",,Admiralty law — what is it? What is a maritime lien? How is the CE related to the Admiralty Act?,0.333,⁠Admiralty law.
QB4_B#q1,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0041,Nair,"QB4_B - Q1. What does communication mean as a human element principle in the context of ISM and Shipboard safety management?, QB5_F - Q2. Communication skills for the CE - how do you handle language barriers and crew management communication?",,What does 'communication' mean as a human element principle in the context of ISM and shipboard safety management?,0.1,Communication
QB4_B#q5,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0042,Nair,"QB4_B - Q1. What does communication mean as a human element principle in the context of ISM and Shipboard safety management?, Q5. What is human element in shipping? Explain its key dimensions - navigation, safety, fatigue, communication and organisational factors., Q6. How does the human element feature in a marine casualty investigation? What HE factors are typically examined?, QB5_A - Q1. Human element - why is imo focusing on it? IMO HTW sub-committee and its functions, QB5_B Q36. Human element factors in casualty investigation, QB1_A - Q24. Casualty investigation code - why? How to report? Human elements to consider.",,"What is the human element in shipping? Explain its key dimensions — navigation, safety, fatigue, communication, and organisational factors.",0.182,Human element
QB9_A#q5,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0045,Nair,"QB9_A - Q5. Admiralty law - what is it? What is a maritime lien? How is the CE related to the Admiralty Act?, QB1_A - Q7. Admiralty Law- Explain. How is the chief engineer related to the Admiralty Act?, QB1_B - Q3. Give an overview of Admiralty Law as it applies to a ship - cover Maritime Lien, Tort, and Statutory Liability.",,Admiralty law — what is it? What is a maritime lien? How is the CE related to the Admiralty Act?,0.333,Admiralty Law
QB1_A#q7,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0046,Nair,"Maritime Lien — Explain.,QB9_A - Q5. Admiralty law - what is it? What is a maritime lien? How is the CE related to the Admiralty Act?,QB1_B - Q3. Give an overview of Admiralty Law as it applies to a ship - cover Maritime Lien, Tort, and Statutory Liability.",1,Admiralty Law — Explain. How is the Chief Engineer related to the Admiralty Act?,0.0,Liens – Maritime lien
QB1_H#q1,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0047,Nair,Q1,"High (session-verified, direct build)",What is IACS Procedural Requirement (PR) 17 and when does it apply?,0.0,PSC Inspection
QB1_H#q1,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0048,Nair,What is IACS Procedural Requirement (PR) 17 and when does it apply?,0.95,What is IACS Procedural Requirement (PR) 17 and when does it apply?,0.0,PR 17
QB1_H#q1,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0052,Nair,Q2,"High (session-verified, direct build)",What is IACS Procedural Requirement (PR) 17 and when does it apply?,0.0,Substantial corrosion
QB1_H#q2,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0053,Nair,What is IACS Procedural Requirement (PR) 9 and how does it standardise ISM Code certification?,0.95,What is IACS Procedural Requirement (PR) 9 and how does it standardise ISM Code certification?,0.0,PR 9
QB2_B#q10,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0054,Nair,"What are the latest SOLAS amendments regarding safety on container ships, specifically relating to portable water monitors — how many are required, on",0.75,"What are the latest SOLAS amendments regarding safety on container ships, specifically relating to portable water monitors — how many are required, on what basis is the number determined, and is a portable water monitor used for firefighting?",0.091,Latest amendments related to STCW
QB4_B#q17,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0056,Nair,What actions and precautions do you take as Chief Engineer when sailing through a war risk area (e.g. Persian Gulf)?,1,What actions and precautions do you take as Chief Engineer when sailing through a war risk area (e.g. Persian Gulf)?,0.231,"You are in a war risk area, how do you sail"
QB9_A#q8,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0057,Nair,"UNCLOS — explain in detail. Rights denied in war risk area. Sovereign vs jurisdiction — difference. EEZ, Continental Shelf. What is hot pursuit — cond",0.86,"UNCLOS — explain in detail. Rights denied in war risk area. Sovereign vs jurisdiction — difference. EEZ, Continental Shelf. What is hot pursuit — cond",0.333,What all rights are denied under UNCLOS in the war risk area?
QB4_H#q1,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0062,Nair,Q2,"High (session-verified, direct build)",What is the AECS course and who is required to do it?,0.0,Sustainable fuel
QB4_H#q2,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0063,Nair,Pre-existing coverage: BMP5 Strait of Hormuz,0.85,Outline the Best Management Practices for a transit through the Strait of Hormuz.,0.1,bmp for straight of hormuz
QB4_C#q15,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0065,Nair,RO Code?,1,RO Code?,0.2,Imdg cargo certificate requirement and code
QB5_C_B#q8,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0069,Simon,QB5_C_B - Q18. Two types of CSR - explain both. Difference between CSR and E-CSR,,Q18: Two types of CSR — explain both. Difference between CSR and E-CSR,0.286,types of csr.
QB4_C#q15,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0071,Simon,RO Code?,1,RO Code?,0.333,Ro code full explantion
QB1_B#q7,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0072,Simon,What criteria must an organisation meet to become a Recognised Organisation (RO) under IMO/Flag State delegation?,manual,What criteria must an organisation meet to become a Recognised Organisation (RO) under IMO/Flag State delegation?,0.182,where criteria is given to become ro.
QB4_I#q1,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0073,Simon,"Explain the ISPS Code — types of certificates, security levels, and the role of the SSO.",1,"What types of ISPS-related certificates exist, and what are their validity periods?",0.333,types of isps.- certificate validity
QB4_C#q15,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0074,Simon,RO Code?,1,RO Code?,0.167,ip code definition.. explanation.. courses required for ip personnel
QB1_H#q1,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0077,Simon,Q3,"High (session-verified, direct build)",What is IACS Procedural Requirement (PR) 17 and when does it apply?,0.0,Mlc &rpsl how related with seafarer
QB4_H#q1,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0078,Simon,Q3,"High (session-verified, direct build)",What is the AECS course and who is required to do it?,0.0,iacs.ur.pr.ui
QB4_H#q3,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0079,Simon,Pre-existing coverage: Security-related courses,0.85,"What security-related courses are required for seafarers under STCW/ISPS, and what does each cover?",0.25,security courses required for seafarer and names.
QB9_E#q12,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0082,Nair,Insurance principles — list all principles of marine insurance and explain each.,manual,Inchmaree Clause in Marine Insurance,0.222,War time marine insurance. Who pays the extra premium
QB3_F#q2,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0085,Nair,What statutory certificates are required under MARPOL Annex VI?,High (95% fuzzy match),What statutory certificates are required under MARPOL Annex VI?,0.333,Annex 6 certificates
QB4_B#q1,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0086,Nair,QB4_B.html#q2,,What does 'communication' mean as a human element principle in the context of ISM and shipboard safety management?,0.0,"Takeover as CE, what all to check"
QB4_B#q3,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0087,Nair,"As per the Safety Management System, how is planned maintenance carried out onboard? What does the SMS require?",0.8,"As per the Safety Management System, how is planned maintenance carried out onboard? What does the SMS require?",0.333,"As per SMS, how do u carry out maintenance"
QB4_A#q5,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0088,Nair,"Describe how a PSC inspection is conducted — how do officers board, what are the types and levels of inspection, and how are deficiency codes used?",manual,"Describe how a PSC inspection is conducted — how do officers board, what are the types and levels of inspection, and how are deficiency codes used?",0.2,Psc inspection. How they come onboard. Do u invite them?. What all levels of inspection they do.
QB6_E#q1,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0089,Nair,"Q1: Asked about written, which was the toughest question. I said CII. The. Asked to explain CII.",High,Carbon Intensity Indicator (CII) Explanation,0.091,"Asked about written, which was the toughest question. I said CII. The. Asked to explain CII."
QB4_C#q15,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0098,Simon,RO Code?,1,RO Code?,0.143,"IBC code, reg 17, tank requirements, how it's different BCH code"
QB9_E#q4,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0100,Simon,,manual,CLC and its Explanation,0.333,CLC and it's explanation (came out of crossing from bunker)
QB9_A#q3,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0101,Simon,"Fund Convention — explanation and why introduced. HNS Convention — for whom, in force or not, HNS Protocol. LLMC — limits, who pays within and after l",0.8,"Fund Convention — explanation and why introduced. HNS Convention — for whom, in force or not, HNS Protocol. LLMC — limits, who pays within and after l",0.267,Fund convention explanation and also why was it introduced.
QB2_B#q17,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0105,Rajappan,"What is the dry chemical powder (DCP) firefighting system fitted on the deck of a container ship, and what regulations govern it?",manual,"What is the dry chemical powder (DCP) firefighting system fitted on the deck of a container ship, and what regulations govern it?",0.286,"Fire fighting system on deck - DCP, System and regulations"
QB5_B#q11,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0109,Rajappan,QB5_B.html - Q11. 3-element controller - explain,,3-Element Controller — Explain.,0.333,3-elements controller
QB1_H#q1,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0110,Rajappan,Q4,"High (session-verified, direct build)",What is IACS Procedural Requirement (PR) 17 and when does it apply?,0.0,Controller tuning procedure - Ziegler-Nichols Method
QB1_H#q4,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0111,Rajappan,Pre-existing coverage: Windlass/mooring winch brake rendering test,0.85,"Describe the windlass/mooring winch brake rendering test — purpose, calculation basis, and procedure.",0.083,Windlass break testing
QB2_B#q19,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0112,Rajappan,How would you apply Formal Safety Assessment (FSA) specifically in the context of Li-ion battery cargo carried in containers?,1,How would you apply Formal Safety Assessment (FSA) specifically in the context of Li-ion battery cargo carried in containers?,0.231,FSA - for Li-ion battery
QB5_B#q13,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0114,Rajappan,QB5_B.html - q13. IG Alarms and trips. O2 analyser - low and high O2 limits. Span Gas and test gas,,IG Alarms and Trips. O₂ Analyser — Low and High O₂ Limits. Span Gas and Test Gas.,0.222,IG alarms and trips
QB4_C#q15,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0120,Rajappan,RO Code?,1,RO Code?,0.2,What are all the new amendments in IBC code
QB4_B#q8,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0121,Rajappan,Explain the principles of crew motivation onboard a ship.,manual,Explain the principles of crew motivation onboard a ship.,0.333,Principle of Motivation of crew
QB1_B#q12,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0124,Rajappan,Explain civil liability in the context of the CLC and the Fund Convention — how do they work together for oil pollution compensation?,0.8,Explain civil liability in the context of the CLC and the Fund Convention — how do they work together for oil pollution compensation?,0.333,"What is civil liability,  more on clc and fund"
QB1_A#q1,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0125,Rajappan,P&I Club — What is Protection & Indemnity? How does it differ from other marine insurance?,High (100% fuzzy match),P&I Club — What is Protection & Indemnity? How does it differ from other marine insurance?,0.143,What is insurance
QB5_A#q1,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0129,Rajappan,QB5_A.html - q6,,Human Element — Why is IMO focusing on it? IMO HTW Sub-committee and its functions.,0.0,⁠conflict management
QB5_A#q5,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0130,Rajappan,QB5_A.html#q5. Motivation of crew,,Motivation of Crew — Principles of Motivation.,0.2,⁠how u will motivate crew .
QB6_F#q1,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0132,Rajappan,not found.,manual,Explain the IP (Industrial Personnel) Code under SOLAS Chapter XV.,0.167,⁠Ip code
QB1_A#q9,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0133,Rajappan,General Average — Explain including act and procedure followed.,0.95,General Average — Explain including act and procedure followed.,0.333,⁠general average
QB9_C#q5,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0134,Rajappan,P&amp;I Club — What is Protection &amp; Indemnity? How does it differ from other marine insurance?,manual,Insurance principles — list all principles of marine insurance and explain each.,0.333,⁠principal of marine insurance .
QB10_A#q1,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0135,Rajappan,,manual,Describe the type of vessel you have sailed on and its key engineering features.,0.2,"type of ship sailed - general cargo ,"
QB1_A#q15,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0136,Rajappan,NOSDCP — Explain.,High (80% fuzzy match),NOSDCP — Explain.,0.0,explain ESP..
QB4_A#q4,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0139,Nair,"Describe the internal audit procedure under the ISM Code. Who conducts it, what is checked, and what is the outcome?",1,"Describe the internal audit procedure under the ISM Code. Who conducts it, what is checked, and what is the outcome?",0.333,Procedure for internal audit
QB3_A#q1,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0144,Srivastava,QB3_A.html#q1,,"SOLAS Chapter XII — what does it cover, and why is it relevant to bulk carriers?",0.286,solas chapter 12.
QB2_A#q1,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0145,Srivastava,QB2_A.html#q11,,"CSC Convention — what it covers, container testing, approval methods, certification, and how reefer container testing differs.",0.0,Grain code.
QB4_H#q1,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0147,Srivastava,Q4,"High (session-verified, direct build)",What is the AECS course and who is required to do it?,0.0,Role of CE for ISPS audit?
QB4_H#q4,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0148,Srivastava,Pre-existing coverage: SSAS testing procedure,0.85,Describe the procedure for testing the Ship Security Alert System (SSAS).,0.25,SSAS alarm testing.
QB2_B#q7,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0150,Nair,"Explain the container shipping operational model: what is the difference between Liner, NVOCC, and VOCC, and what are the advantages/disadvantages of",manual,"Explain the container shipping operational model: what is the difference between Liner, NVOCC, and VOCC, and what are the advantages/disadvantages of each?",0.3,Container operations ? What it’s called ? Liner ? Nvocc/Vocc … Advantages / disadvantages.?? Tried with whatever I know but he wasn’t satisfied.
QB4_C#q15,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0153,Nair,RO Code?,1,RO Code?,0.125,MASS CODE : only outline and degree explanation  was okie for him.
QB1_A#q24,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0154,Nair,Casualty Investigation Code — Why? How to report? Human elements to consider.,manual,Casualty Investigation Code — Why? How to report? Human elements to consider.,0.25,Causality Investigation : Why ? How to report.?
QB5_A#q1,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0156,Rajappan,QB5_A.html#q5,,Human Element — Why is IMO focusing on it? IMO HTW Sub-committee and its functions.,0.0,How do u motivate ur crew.
QB5_A#q1,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0157,Rajappan,QB5_A.html#q4,,Human Element — Why is IMO focusing on it? IMO HTW Sub-committee and its functions.,0.0,What is Maslow theory
QB5_B#q15,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0161,Rajappan,Risk Assessment and PTW for Operating a Portable Framo Submersible Cargo Pump.,0.75,Risk Assessment and PTW for Operating a Portable Framo Submersible Cargo Pump.,0.3,Portable framo pump procedure
QB5_A#q1,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0162,Rajappan,QB5_A.html#q3,,Human Element — Why is IMO focusing on it? IMO HTW Sub-committee and its functions.,0.0,Johari window
QB10_A#q1,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0164,Rajappan,not found.,manual,Describe the type of vessel you have sailed on and its key engineering features.,0.0,Sagarmala in detail
QB6#q18,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0166,Rajappan,VIT (Variable Injection Timing) — explain. Why is VIT not used below 40% load?,0.75,VIT (Variable Injection Timing) — explain. Why is VIT not used below 40% load?,0.333,Vit and why not using below it.
QB4_B#q1,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0168,Nair,QB4_B.html#q16,,What does 'communication' mean as a human element principle in the context of ISM and shipboard safety management?,0.0,BMP for piracy
QB2_B#q9,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0169,Nair,Explain the CSC (Container Safety Convention) inspection scheme in detail — covering the Periodic Examination Scheme (PES) and the Approved Continuous,manual,"Explain the CSC (Container Safety Convention) inspection scheme in detail — covering the Periodic Examination Scheme (PES) and the Approved Continuous Examination Programme (ACEP), and what tests are carried out.",0.292,"⁠csc in detail.asking about container test ,inspection scheme. Finally ended in PES,ACEP what are the test you will do."
QB8_A#q6,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0170,Nair,IMDG DG cargo documents?,1,IMDG DG cargo documents?,0.3,⁠IMDg cargo carrying what are the documents.how will you carry out firefighting and where you find details
QB4_B#q1,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0173,Nair,QB4_B.html#q11,,What does 'communication' mean as a human element principle in the context of ISM and shipboard safety management?,0.0,⁠how will you train your juniors
QB2_B#q11,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0174,Nair,"What is the Verified Gross Mass (VGM) of a container? What information must it contain, how do you ensure the VGM is correct, and who is responsible f",manual,"What is the Verified Gross Mass (VGM) of a container? What information must it contain, how do you ensure the VGM is correct, and who is responsible for declaring and deciding the container weight?",0.188,⁠vgm in details.content in vgm.how do you ensure vgm is correct.
QB4_B#q1,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0175,Nair,QB4_B.html#q7,,What does 'communication' mean as a human element principle in the context of ISM and shipboard safety management?,0.0,⁠leadership qualities
QB9_E#q7,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0176,Nair,P&I Club — what does the 'I' stand for? Explain.,manual,P&I Club Coverage in Hormuz,0.167,⁠what are the things p&i club cover in Hormuz.things not covered .how they will cancel the insurance while transit in Hormuz .
QB9_A#q4,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0177,Nair,General Average — explanation and procedure. What is the Sue and Labour clause? What is subrogation? What are the ITC (Institute Time Clauses) and key,1,General Average — explanation and procedure. What is the Sue and Labour clause? What is subrogation? What are the ITC (Institute Time Clauses) and key,0.231,⁠what is itc clause.what are the clauses in it.
QB6#q1,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0179,Simon,"What is the CII — how is it calculated, what are the units, and what does the A–E rating mean?",manual,"What is the CII — how is it calculated, what are the units, and what does the A–E rating mean?",0.143,CII calculation unit
QB2_B#q12,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0181,Simon,How are Gross Tonnage (GT) and Net Tonnage (NT) calculated for a container ship?,manual,How are Gross Tonnage (GT) and Net Tonnage (NT) calculated for a container ship?,0.111,GT and NT how calculayed for container. How GT 	is bigger than NT.
QB2_A#q20,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0182,Simon,"Parametric rolling &mdash; cause, mechanism, why container ships are susceptible, cargo consequences, and CE&rsquo;s correction.",manual,"Parametric rolling — cause, mechanism, why container ships are susceptible, cargo consequences, and CE's correction.",0.182,Parametric rolling why how to rectify
QB9_F#q1,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0184,Simon,not found.,manual,Uniform Law and Conflict of Law in Maritime Context,0.0,rightship inspection
QB9_E#q1,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0185,Simon,not found.,manual,TMSA,0.0,blue economy
