examiner,tier,canonical_question_id,examiner_named_in_qcard,examiner_named_in_ce_tip,examiner_named_in_page_preamble,reproducible_from_repo
Nair,confirmed,QB2_B#q4,True,False,True,True
Nair,confirmed,QB2_B#q5,True,False,True,True
Nair,confirmed,QB2_B#q7,True,True,True,True
Nair,confirmed,QB2_B#q8,True,False,True,True
Nair,confirmed,QB2_B#q10,True,True,True,True
Nair,confirmed,QB2_B#q11,True,False,True,True
Nair,confirmed,QB2_B#q15,True,False,True,True
Nair,confirmed,QB2_F#q1,True,True,False,True
Nair,confirmed,QB2_F#q3,True,True,False,True
Nair,confirmed,QB3_A#q3,True,False,True,True
Nair,confirmed,QB3_A#q8,False,False,True,True
Nair,confirmed,QB3_A#q11,False,False,True,True
Nair,confirmed,QB3_A#q13,False,False,True,True
Nair,confirmed,QB3_C#q1,True,True,True,True
Nair,confirmed,QB3_C#q5,True,True,True,True
Nair,confirmed,QB3_D#q1,True,True,True,True
Nair,confirmed,QB3_F#q2,True,True,False,True
Nair,confirmed,QB4_A#q4,True,True,True,True
Nair,confirmed,QB4_A#q5,True,True,True,True
Nair,confirmed,QB4_A#q9,True,False,True,True
Nair,confirmed,QB4_A#q20,False,False,True,True
Nair,confirmed,QB4_B#q1,True,True,True,True
Nair,confirmed,QB4_B#q3,True,True,True,True
Nair,confirmed,QB4_B#q13,True,True,True,True
Nair,confirmed,QB4_B#q15,True,True,True,True
Nair,confirmed,QB4_B#q17,True,True,True,True
Nair,confirmed,QB4_B#q18,True,True,True,True
Nair,confirmed,QB4_C#q1,True,True,True,True
Nair,confirmed,QB4_C#q2,True,True,True,True
Nair,confirmed,QB4_C#q3,True,True,True,True
Nair,confirmed,QB4_C#q4,True,True,True,True
Nair,confirmed,QB4_C#q8,True,True,True,True
Nair,confirmed,QB4_C#q9,True,True,True,True
Nair,confirmed,QB4_C#q11,True,True,True,True
Nair,confirmed,QB4_C#q14,True,True,True,True
Nair,confirmed,QB4_C#q15,True,True,True,True
Nair,confirmed,QB4_C#q17,True,True,True,True
Nair,confirmed,QB4_D#q1,True,True,True,True
Nair,confirmed,QB4_D#q2,True,True,True,True
Nair,confirmed,QB4_D#q3,True,True,True,True
Nair,confirmed,QB4_E#q11,False,False,True,True
Nair,confirmed,QB5_A#q5,False,False,False,False
Nair,confirmed,QB5_A#q6,False,False,False,False
Nair,confirmed,QB5_A#q7,False,False,False,False
Nair,confirmed,QB5_A#q12,False,False,False,False
Nair,confirmed,QB5_A#q15,False,False,False,False
Nair,confirmed,QB5_B#q1,False,False,True,True
Nair,confirmed,QB5_B#q6,False,False,True,True
Nair,confirmed,QB5_C_A#q2,False,False,True,True
Nair,confirmed,QB5_C_A#q3,True,True,True,True
Nair,confirmed,QB5_C_A#q5,True,True,True,True
Nair,confirmed,QB5_C_A#q6,True,True,True,True
Nair,confirmed,QB5_C_A#q7,True,True,True,True
Nair,confirmed,QB5_C_B#q4,True,True,True,True
Nair,confirmed,QB5_C_B#q7,True,True,True,True
Nair,confirmed,QB5_D#q1,True,True,True,True
Nair,confirmed,QB5_D#q2,True,True,True,True
Nair,confirmed,QB5_F#q2,True,True,True,True
Nair,confirmed,QB5_H#q2,True,True,False,True
Nair,confirmed,QB5_I#q1,True,True,True,True
Nair,confirmed,QB5_I#q2,True,True,True,True
Nair,confirmed,QB5_I#q3,False,False,True,True
Nair,confirmed,QB5_I#q4,True,True,True,True
Nair,confirmed,QB5_I#q5,False,False,True,True
Nair,confirmed,QB5_I#q6,True,True,True,True
Nair,confirmed,QB6#q9,True,True,True,True
Nair,confirmed,QB6#q10,True,True,True,True
Nair,confirmed,QB6#q13,True,True,True,True
Nair,confirmed,QB6#q14,True,True,True,True
Nair,confirmed,QB6_C#q1,True,True,True,True
Nair,confirmed,QB6_C#q2,True,True,True,True
Nair,confirmed,QB6_C#q3,True,False,True,True
Nair,confirmed,QB6_D#q3,True,True,True,True
Nair,confirmed,QB6_G#q1,True,True,True,True
Nair,confirmed,QB6_G#q2,True,True,True,True
Nair,confirmed,QB7_A#q1,True,True,True,True
Nair,confirmed,QB7_G#q1,True,True,False,True
Nair,confirmed,QB8_A#q1,True,True,True,True
Nair,confirmed,QB8_A#q2,True,True,True,True
Nair,confirmed,QB8_A#q5,True,True,True,True
Nair,confirmed,QB8_A#q6,True,True,True,True
Nair,confirmed,QB8_B#q1,True,False,True,True
Nair,confirmed,QB8_B#q2,True,False,True,True
Nair,confirmed,QB8_B#q5,True,False,True,True
Nair,confirmed,QB8_E#q1,True,True,True,True
Nair,confirmed,QB8_F#q1,True,True,False,True
Nair,confirmed,QB9_A#q4,True,True,True,True
Nair,confirmed,QB9_A#q8,True,True,True,True
Nair,confirmed,QB9_A#q9,True,True,True,True
Nair,confirmed,QB9_B#q2,True,True,True,True
Nair,confirmed,QB9_B#q3,True,True,True,True
Nair,confirmed,QB9_B#q4,True,True,True,True
Nair,confirmed,QB9_C#q4,True,True,True,True
Nair,confirmed,QB9_C#q5,True,True,True,True
Nair,confirmed,QB9_C#q6,True,True,True,True
Nair,confirmed,QB9_E#q2,True,True,False,True
Nair,confirmed,QB9_F#q1,True,True,False,True
Nair,confirmed,QB9_G#q4,True,True,True,True
Nair,confirmed,QB9_G#q5,True,True,True,True
Nair,confirmed,QB9_G#q6,True,True,True,True
Nair,confirmed,QB9_G#q7,True,True,True,True
Nair,ce_tip,QB1_A#q2,True,True,True,True
Nair,ce_tip,QB1_A#q3,True,True,True,True
Nair,ce_tip,QB1_A#q4,True,True,True,True
Nair,ce_tip,QB1_A#q5,True,True,True,True
Nair,ce_tip,QB1_A#q7,True,True,True,True
Nair,ce_tip,QB1_A#q8,True,True,True,True
Nair,ce_tip,QB1_A#q9,True,True,True,True
Nair,ce_tip,QB1_A#q10,True,True,True,True
Nair,ce_tip,QB1_A#q13,True,True,True,True
Nair,ce_tip,QB1_A#q15,True,True,True,True
Nair,ce_tip,QB1_A#q16,True,True,True,True
Nair,ce_tip,QB1_A#q17,True,True,True,True
Nair,ce_tip,QB1_A#q18,True,True,True,True
Nair,ce_tip,QB1_A#q20,True,True,True,True
Nair,ce_tip,QB1_A#q21,True,True,True,True
Nair,ce_tip,QB1_A#q22,True,True,True,True
Nair,ce_tip,QB1_A#q23,True,True,True,True
Nair,ce_tip,QB1_A#q26,True,True,True,True
Nair,ce_tip,QB1_A#q28,True,True,True,True
Nair,ce_tip,QB1_A#q29,True,True,True,True
Nair,ce_tip,QB1_A#q30,True,True,True,True
Nair,ce_tip,QB1_F#q2,True,True,False,True
Nair,ce_tip,QB1_F#q4,True,True,False,True
Nair,ce_tip,QB1_F#q11,True,True,False,True
Nair,ce_tip,QB6#q1,True,True,True,True
Nair,ce_tip,QB6#q7,True,True,True,True
Nair,ce_tip,QB6#q12,True,True,True,True
Nair,header,QB1_B#q4,False,False,True,True
Nair,header,QB1_B#q6,True,True,True,True
Nair,header,QB1_B#q10,True,True,True,True
Nair,header,QB1_B#q11,True,True,True,True
Nair,header,QB1_B#q14,False,False,True,True
Nair,header,QB1_B#q15,True,True,True,True
Nair,header,QB1_B#q18,True,True,True,True
Nair,header,QB1_B#q20,False,False,True,True
Nair,header,QB2_B#q3,True,False,True,True
Nair,header,QB2_B#q6,True,False,True,True
Nair,header,QB2_B#q9,True,False,True,True
Nair,header,QB2_B#q13,True,False,True,True
Nair,header,QB2_B#q14,True,False,True,True
Nair,header,QB2_B#q19,True,False,True,True
Nair,header,QB4_C#q16,True,False,True,True
Nair,header,QB4_E#q5,False,False,True,True
Nair,header,QB4_E#q6,False,False,True,True
Nair,header,QB4_E#q7,False,False,True,True
Nair,header,QB4_E#q8,False,False,True,True
Nair,inferred,QB10_A#q1,True,True,False,True
Nair,inferred,QB10_A#q2,False,False,False,False
Nair,inferred,QB10_A#q3,False,False,False,False
Nair,inferred,QB10_A#q4,True,True,False,True
Nair,inferred,QB10_A#q5,False,False,False,False
Nair,inferred,QB1_C#q4,True,False,True,True
Nair,inferred,QB1_H#q1,True,True,False,True
Nair,inferred,QB1_H#q2,True,True,False,True
Nair,inferred,QB1_H#q3,False,False,False,False
Nair,inferred,QB1_H#q4,False,False,False,False
Nair,inferred,QB1_H#q5,True,True,False,True
Nair,inferred,QB1_supplementary#q1,True,False,False,True
Nair,inferred,QB1_supplementary#q2,False,False,False,False
Nair,inferred,QB1_supplementary#q3,False,False,False,False
Nair,inferred,QB1_supplementary#q5,False,False,False,False
Nair,inferred,QB1_supplementary#q7,True,False,False,True
Nair,inferred,QB1_supplementary#q8,True,False,False,True
Nair,inferred,QB1_supplementary#q9,False,False,False,False
Nair,inferred,QB1_supplementary#q10,False,False,False,False
Nair,inferred,QB1_supplementary#q11,False,False,False,False
Nair,inferred,QB1_supplementary#q12,False,False,False,False
Nair,inferred,QB1_supplementary#q13,False,False,False,False
Nair,inferred,QB1_supplementary#q14,False,False,False,False
Nair,inferred,QB1_supplementary#q15,False,False,False,False
Nair,inferred,QB1_supplementary#q16,False,False,False,False
Nair,inferred,QB1_supplementary#q17,False,False,False,False
Nair,inferred,QB1_supplementary#q18,False,False,False,False
Nair,inferred,QB1_supplementary#q19,False,False,False,False
Nair,inferred,QB1_supplementary#q20,False,False,False,False
Nair,inferred,QB3_A#q1,True,True,True,True
Nair,inferred,QB3_A#q2,False,False,True,True
Nair,inferred,QB3_A#q4,True,True,True,True
Nair,inferred,QB3_A#q6,False,False,True,True
Nair,inferred,QB3_A#q7,False,False,True,True
Nair,inferred,QB3_A#q9,False,False,True,True
Nair,inferred,QB3_A#q12,False,False,True,True
Nair,inferred,QB3_A#q14,False,False,True,True
Nair,inferred,QB3_A#q16,False,False,True,True
Nair,inferred,QB3_A#q17,False,False,True,True
Nair,inferred,QB3_B#q1,False,False,True,True
Nair,inferred,QB3_B#q2,False,False,True,True
Nair,inferred,QB3_B#q3,True,True,True,True
Nair,inferred,QB3_B#q4,False,False,True,True
Nair,inferred,QB3_B#q5,False,False,True,True
Nair,inferred,QB3_B#q6,False,False,True,True
Nair,inferred,QB3_B#q7,False,False,True,True
Nair,inferred,QB3_B#q8,False,False,True,True
Nair,inferred,QB3_B#q9,True,True,True,True
Nair,inferred,QB3_B#q10,False,False,True,True
Nair,inferred,QB3_B#q12,False,False,True,True
Nair,inferred,QB3_B#q17,False,False,True,True
Nair,inferred,QB3_B#q19,False,False,True,True
Nair,inferred,QB3_C#q4,True,False,True,True
Nair,inferred,QB3_F#q1,False,False,False,False
Nair,inferred,QB3_F#q3,False,False,False,False
Nair,inferred,QB3_F#q4,True,True,False,True
Nair,inferred,QB3_G#q3,False,False,False,False
Nair,inferred,QB3_G#q4,False,False,False,False
Nair,inferred,QB4_A#q1,True,True,True,True
Nair,inferred,QB4_A#q2,False,False,True,True
Nair,inferred,QB4_A#q3,True,True,True,True
Nair,inferred,QB4_A#q6,False,False,True,True
Nair,inferred,QB4_A#q7,True,False,True,True
Nair,inferred,QB4_A#q8,True,True,True,True
Nair,inferred,QB4_A#q11,False,False,True,True
Nair,inferred,QB4_A#q12,False,False,True,True
Nair,inferred,QB4_A#q13,True,False,True,True
Nair,inferred,QB4_A#q14,True,True,True,True
Nair,inferred,QB4_A#q15,False,False,True,True
Nair,inferred,QB4_A#q16,True,False,True,True
Nair,inferred,QB4_A#q18,False,False,True,True
Nair,inferred,QB4_B#q2,False,False,True,True
Nair,inferred,QB4_B#q4,True,True,True,True
Nair,inferred,QB4_B#q5,True,True,True,True
Nair,inferred,QB4_B#q6,True,True,True,True
Nair,inferred,QB4_B#q7,False,False,True,True
Nair,inferred,QB4_B#q9,True,True,True,True
Nair,inferred,QB4_B#q10,False,False,True,True
Nair,inferred,QB4_B#q11,True,True,True,True
Nair,inferred,QB4_B#q14,True,True,True,True
Nair,inferred,QB4_B#q16,True,True,True,True
Nair,inferred,QB4_G#q1,False,False,False,False
Nair,inferred,QB4_G#q2,True,True,False,True
Nair,inferred,QB4_G#q3,False,False,False,False
Nair,inferred,QB4_G#q4,True,True,False,True
Nair,inferred,QB4_G#q5,True,True,False,True
Nair,inferred,QB4_G#q6,True,True,False,True
Nair,inferred,QB4_G#q7,True,True,False,True
Nair,inferred,QB4_G#q8,True,False,False,True
Nair,inferred,QB4_G#q9,False,False,False,False
Nair,inferred,QB4_H#q2,True,True,False,True
Nair,inferred,QB4_H#q3,False,False,False,False
Nair,inferred,QB4_H#q4,False,False,False,False
Nair,inferred,QB4_H#q5,False,False,False,False
Nair,inferred,QB4_H#q6,False,False,False,False
Nair,inferred,QB4_H#q7,False,False,False,False
Nair,inferred,QB4_H#q8,False,False,False,False
Nair,inferred,QB4_H#q9,True,True,False,True
Nair,inferred,QB4_H#q10,True,True,False,True
Nair,inferred,QB4_H#q11,False,False,False,False
Nair,inferred,QB7_C#q1,True,True,True,True
Nair,inferred,QB7_E#q4,False,False,True,True
Nair,inferred,QB7_F#q1,False,False,False,False
Nair,inferred,QB9_A#q1,True,True,True,True
Nair,inferred,QB9_A#q2,False,False,True,True
Nair,inferred,QB9_A#q5,True,True,True,True
Nair,inferred,QB9_A#q6,False,False,True,True
Nair,inferred,QB9_A#q7,True,False,True,True
Nair,inferred,QB9_B#q1,False,False,True,True
Nair,inferred,QB9_B#q5,True,True,True,True
Nair,inferred,QB9_E#q1,True,True,False,True
Nair,inferred,QB9_E#q3,True,True,False,True
Nair,inferred,QB9_E#q5,False,False,False,False
Nair,inferred,QB9_E#q7,True,True,False,True
Nair,inferred,QB9_E#q8,True,True,False,True
Nair,inferred,QB9_E#q10,False,False,False,False
Nair,inferred,QB9_E#q12,True,True,False,True
Nair,inferred,QB9_F#q2,True,True,False,True
Nair,inferred,QB9_F#q3,False,False,False,False
Nair,inferred,QB9_F#q4,False,False,False,False
Nair,inferred,QB9_F#q5,False,False,False,False
Nair,inferred,QB9_F#q6,False,False,False,False
Nair,inferred,QB9_F#q8,False,False,False,False
Nair,inferred,QB9_F#q9,False,False,False,False
Nair,inferred,QB9_F#q10,False,False,False,False
Nair,inferred,QB9_F#q11,False,False,False,False
Nair,header,QB1_J#q1,False,False,False,False
Nair,header,QB1_J#q2,False,False,False,False
Nair,header,QB3_I#q1,False,False,False,False
Nair,header,QB3_I#q2,False,False,False,False
Nair,header,QB3_I#q3,False,False,False,False
Nair,header,QB3_I#q4,False,False,False,False
Nair,header,QB3_I#q5,False,False,False,False
Nair,header,QB3_I#q6,False,False,False,False
Nair,header,QB3_I#q7,False,False,False,False
Nair,header,QB7_I#q5,False,False,False,False
Nair,header,QB7_I#q7,False,False,False,False
Nair,header,QB7_I#q8,False,False,False,False
Nair,header,QB7_I#q9,False,False,False,False
Nair,confirmed,QB1_K#q4,True,True,True,True
Nair,confirmed,QB4_J#q9,True,True,True,True
Nair,confirmed,QB6_H#q2,True,True,True,True
Nair,confirmed,QB8_H#q2,True,True,True,True
Nair,confirmed,QB8_H#q3,True,True,True,True
Nair,confirmed,QB8_H#q4,True,True,True,True
Nair,inferred,QB9_H#q1,True,True,True,True
Nair,inferred,QB9_H#q2,True,True,True,True
Nair,confirmed,QB9_H#q3,True,True,True,True
Nair,inferred,QB9_H#q4,True,True,True,True
Nair,confirmed,QB9_H#q5,True,True,True,True
Nair,confirmed,QB9_H#q6,True,True,True,True
Nair,confirmed,QB9_H#q7,True,True,True,True
Nair,inferred,QB9_H#q8,True,True,True,True
Nair,confirmed,QB9_H#q13,True,True,True,True
Simon,confirmed,QB10_A#q6,True,True,False,True
Simon,confirmed,QB1_A#q3,True,True,True,True
Simon,confirmed,QB1_A#q4,False,False,True,True
Simon,confirmed,QB1_A#q13,False,False,True,True
Simon,confirmed,QB1_A#q16,False,False,True,True
Simon,confirmed,QB1_A#q18,False,False,True,True
Simon,confirmed,QB1_A#q22,False,False,True,True
Simon,confirmed,QB1_A#q23,False,False,True,True
Simon,confirmed,QB1_A#q24,False,False,True,True
Simon,confirmed,QB1_B#q5,False,False,True,True
Simon,confirmed,QB1_B#q7,False,False,True,True
Simon,confirmed,QB1_B#q8,True,True,True,True
Simon,confirmed,QB1_B#q9,False,False,True,True
Simon,confirmed,QB1_B#q19,False,False,True,True
Simon,confirmed,QB1_C#q1,True,True,True,True
Simon,confirmed,QB1_C#q2,True,True,True,True
Simon,confirmed,QB1_C#q3,True,True,True,True
Simon,confirmed,QB1_C#q6,True,True,True,True
Simon,confirmed,QB1_E#q1,True,True,True,True
Simon,confirmed,QB1_E#q2,True,True,True,True
Simon,confirmed,QB1_F#q13,True,True,False,True
Simon,confirmed,QB1_F#q14,True,True,False,True
Simon,confirmed,QB1_F#q15,True,True,False,True
Simon,confirmed,QB1_F#q20,True,True,False,True
Simon,confirmed,QB1_G#q21,True,True,False,True
Simon,confirmed,QB1_G#q22,True,True,False,True
Simon,confirmed,QB1_G#q24,True,True,False,True
Simon,confirmed,QB1_G#q27,True,True,False,True
Simon,confirmed,QB1_G#q28,True,True,False,True
Simon,confirmed,QB1_G#q32,False,False,False,False
Simon,confirmed,QB1_G#q37,True,True,False,True
Simon,confirmed,QB1_G#q38,True,True,False,True
Simon,confirmed,QB1_G#q39,True,True,False,True
Simon,confirmed,QB2_A#q13,True,False,True,True
Simon,confirmed,QB2_A#q16,True,False,True,True
Simon,confirmed,QB2_A#q17,True,True,True,True
Simon,confirmed,QB2_A#q18,True,False,True,True
Simon,confirmed,QB2_A#q20,True,True,True,True
Simon,confirmed,QB2_A#q21,True,False,True,True
Simon,confirmed,QB2_B#q11,True,False,True,True
Simon,confirmed,QB2_B#q12,True,False,True,True
Simon,confirmed,QB2_D#q2,True,True,True,True
Simon,confirmed,QB2_E#q1,True,True,True,True
Simon,confirmed,QB2_G#q1,False,False,False,False
Simon,confirmed,QB2_G#q2,False,False,False,False
Simon,confirmed,QB3_A#q15,False,False,True,True
Simon,confirmed,QB3_B#q18,True,True,True,True
Simon,confirmed,QB3_E#q1,True,True,True,True
Simon,confirmed,QB3_E#q2,True,True,True,True
Simon,confirmed,QB3_E#q3,True,True,True,True
Simon,confirmed,QB3_F#q5,True,True,False,True
Simon,confirmed,QB3_F#q6,True,True,False,True
Simon,confirmed,QB3_G#q1,True,True,False,True
Simon,confirmed,QB3_G#q2,True,True,False,True
Simon,confirmed,QB4_A#q10,False,False,True,True
Simon,confirmed,QB4_A#q19,False,False,True,True
Simon,confirmed,QB4_B#q12,True,True,True,True
Simon,confirmed,QB4_B#q19,False,False,True,True
Simon,confirmed,QB4_C#q10,True,True,True,True
Simon,confirmed,QB4_C#q15,False,False,True,True
Simon,confirmed,QB4_E#q1,True,False,True,True
Simon,confirmed,QB4_E#q2,True,False,True,True
Simon,confirmed,QB4_E#q3,True,False,True,True
Simon,confirmed,QB4_E#q4,True,False,True,True
Simon,confirmed,QB4_F#q1,True,True,True,True
Simon,confirmed,QB4_F#q2,True,True,True,True
Simon,confirmed,QB4_F#q6,True,True,True,True
Simon,confirmed,QB4_H#q1,True,True,False,True
Simon,confirmed,QB5_A#q1,False,False,False,False
Simon,confirmed,QB5_A#q8,False,False,False,False
Simon,confirmed,QB5_A#q10,False,False,False,False
Simon,confirmed,QB5_A#q16,False,False,False,False
Simon,confirmed,QB5_A#q17,False,False,False,False
Simon,confirmed,QB5_A#q18,False,False,False,False
Simon,confirmed,QB5_A#q19,False,False,False,False
Simon,confirmed,QB5_B#q8,False,False,True,True
Simon,confirmed,QB5_C_B#q2,True,True,True,True
Simon,confirmed,QB5_C_B#q3,True,True,True,True
Simon,confirmed,QB5_C_B#q8,False,False,True,True
Simon,confirmed,QB5_E#q4,True,False,True,True
Simon,confirmed,QB5_E#q5,True,False,True,True
Simon,confirmed,QB5_E#q6,True,True,True,True
Simon,confirmed,QB5_F#q1,True,True,True,True
Simon,confirmed,QB6#q1,False,False,True,True
Simon,confirmed,QB6#q2,True,True,True,True
Simon,confirmed,QB6#q6,True,True,True,True
Simon,confirmed,QB6#q11,True,True,True,True
Simon,confirmed,QB6_D#q1,True,True,True,True
Simon,confirmed,QB6_D#q2,True,True,True,True
Simon,confirmed,QB7_D#q1,True,True,True,True
Simon,confirmed,QB7_D#q4,True,True,True,True
Simon,confirmed,QB7_D#q5,True,True,True,True
Simon,confirmed,QB7_D#q6,True,True,True,True
Simon,confirmed,QB7_D#q7,True,True,True,True
Simon,confirmed,QB7_D#q8,True,True,True,True
Simon,confirmed,QB7_D#q10,True,True,True,True
Simon,confirmed,QB7_D#q11,True,True,True,True
Simon,confirmed,QB7_E#q1,True,True,True,True
Simon,confirmed,QB7_E#q2,True,True,True,True
Simon,confirmed,QB7_E#q3,True,True,True,True
Simon,confirmed,QB7_E#q5,True,True,True,True
Simon,confirmed,QB8_A#q4,True,True,False,True
Simon,confirmed,QB8_B#q4,False,False,True,True
Simon,confirmed,QB8_D#q1,True,True,True,True
Simon,confirmed,QB8_D#q2,True,True,True,True
Simon,confirmed,QB8_E#q2,True,True,True,True
Simon,confirmed,QB8_G#q2,True,True,True,True
Simon,confirmed,QB9_A#q3,True,True,True,True
Simon,confirmed,QB9_B#q6,True,True,False,True
Simon,confirmed,QB9_B#q7,True,True,False,True
Simon,confirmed,QB9_C#q5,False,False,False,False
Simon,confirmed,QB9_D#q1,True,True,False,True
Simon,confirmed,QB9_D#q2,True,False,False,True
Simon,confirmed,QB9_D#q3,True,True,False,True
Simon,confirmed,QB9_D#q4,True,True,False,True
Simon,confirmed,QB9_D#q5,True,True,False,True
Simon,confirmed,QB9_D#q6,True,True,False,True
Simon,confirmed,QB9_D#q9,True,True,False,True
Simon,confirmed,QB9_E#q4,True,True,False,True
Simon,confirmed,QB9_F#q7,False,False,False,False
Simon,confirmed,QB9_G#q1,True,True,True,True
Simon,confirmed,QB9_G#q2,True,True,True,True
Simon,confirmed,QB9_G#q3,True,True,True,True
Simon,ce_tip,QB1_A#q9,True,True,True,True
Simon,ce_tip,QB1_A#q11,True,True,True,True
Simon,ce_tip,QB1_A#q12,True,True,True,True
Simon,ce_tip,QB1_A#q27,True,True,True,True
Simon,ce_tip,QB1_D#q1,True,True,False,True
Simon,ce_tip,QB1_G#q23,True,True,False,True
Simon,ce_tip,QB1_G#q29,True,True,False,True
Simon,ce_tip,QB4_F#q3,True,True,True,True
Simon,ce_tip,QB4_F#q5,True,True,True,True
Simon,ce_tip,QB6#q5,True,True,True,True
Simon,ce_tip,QB7_D#q9,True,True,True,True
Simon,header,QB1_B#q4,False,False,True,True
Simon,header,QB1_B#q6,True,True,True,True
Simon,header,QB1_B#q10,False,False,True,True
Simon,header,QB1_B#q11,False,False,True,True
Simon,header,QB1_B#q14,True,True,True,True
Simon,header,QB1_B#q15,False,False,True,True
Simon,header,QB1_B#q18,True,True,True,True
Simon,header,QB1_B#q20,True,True,True,True
Simon,header,QB2_B#q3,False,False,True,True
Simon,header,QB2_B#q6,True,False,True,True
Simon,header,QB2_B#q9,True,False,True,True
Simon,header,QB2_B#q13,True,False,True,True
Simon,header,QB2_B#q14,True,False,True,True
Simon,header,QB2_B#q19,True,False,True,True
Simon,header,QB4_C#q16,False,False,True,True
Simon,header,QB4_E#q5,True,False,True,True
Simon,header,QB4_E#q6,True,False,True,True
Simon,header,QB4_E#q7,True,False,True,True
Simon,header,QB4_E#q8,True,True,True,True
Simon,header,QB5_E#q2,True,True,True,True
Simon,header,QB5_E#q3,True,False,True,True
Simon,inferred,QB2_A#q1,True,False,True,True
Simon,inferred,QB2_A#q2,True,False,True,True
Simon,inferred,QB2_A#q3,True,False,True,True
Simon,inferred,QB2_A#q10,True,False,True,True
Simon,inferred,QB2_A#q11,True,False,True,True
Simon,inferred,QB2_A#q12,True,False,True,True
Simon,inferred,QB2_A#q14,True,True,True,True
Simon,inferred,QB2_A#q15,True,False,True,True
Simon,inferred,QB2_A#q19,True,False,True,True
Simon,inferred,QB2_A#q22,True,False,True,True
Simon,inferred,QB2_A#q23,True,True,True,True
Simon,inferred,QB2_A#q24,True,False,True,True
Simon,inferred,QB2_A#q25,True,False,True,True
Simon,inferred,QB2_A#q26,True,True,True,True
Simon,inferred,QB2_A#q27,True,False,True,True
Simon,inferred,QB2_A#q28,True,False,True,True
Simon,inferred,QB2_A#q29,True,True,True,True
Simon,inferred,QB2_A#q30,True,True,True,True
Simon,inferred,QB2_C#q1,True,False,True,True
Simon,inferred,QB2_C#q2,True,False,True,True
Simon,inferred,QB2_C#q3,True,False,True,True
Simon,inferred,QB2_C#q4,True,False,True,True
Simon,inferred,QB2_F#q2,False,False,False,False
Simon,inferred,QB2_F#q4,False,False,False,False
Simon,inferred,QB2_F#q5,False,False,False,False
Simon,inferred,QB2_F#q6,True,True,False,True
Simon,inferred,QB5_A#q4,False,False,False,False
Simon,inferred,QB5_A#q9,False,False,False,False
Simon,inferred,QB5_A#q11,False,False,False,False
Simon,inferred,QB5_A#q13,False,False,False,False
Simon,inferred,QB5_A#q14,False,False,False,False
Simon,inferred,QB5_A#q20,False,False,False,False
Simon,inferred,QB5_B#q2,False,False,True,True
Simon,inferred,QB5_B#q3,False,False,True,True
Simon,inferred,QB5_B#q4,False,False,True,True
Simon,inferred,QB5_B#q5,False,False,True,True
Simon,inferred,QB5_B#q9,False,False,True,True
Simon,inferred,QB5_B#q10,False,False,True,True
Simon,inferred,QB5_B#q12,False,False,True,True
Simon,inferred,QB5_B#q14,False,False,True,True
Simon,inferred,QB5_B#q15,False,False,True,True
Simon,inferred,QB5_B#q16,False,False,True,True
Simon,inferred,QB5_C_A#q1,False,False,False,False
Simon,inferred,QB5_C_A#q2,False,False,False,False
Simon,inferred,QB5_C_A#q3,False,False,False,False
Simon,inferred,QB5_C_A#q4,False,False,False,False
Simon,inferred,QB5_C_A#q5,False,False,False,False
Simon,inferred,QB5_C_A#q6,False,False,False,False
