canonical_question_id,examiner,current_tier,disposition,corroborating_source_ids,note
QB1_supplementary#q18,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB1_supplementary#q19,Nair,inferred,PROMOTED_BY_EVIDENCE,ASC-0547,the external compilation reports this examiner asking this question
QB1_supplementary#q2,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB1_supplementary#q20,Nair,inferred,PROMOTED_BY_EVIDENCE,ASC-0546,the external compilation reports this examiner asking this question
QB1_supplementary#q3,Nair,inferred,PROMOTED_BY_EVIDENCE,ASC-0528;ASC-0530;ASC-0682,the external compilation reports this examiner asking this question
QB1_supplementary#q5,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB1_supplementary#q7,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB1_supplementary#q8,Nair,inferred,PROMOTED_BY_EVIDENCE,ASC-0604,the external compilation reports this examiner asking this question
QB1_supplementary#q9,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB3_A#q1,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB3_A#q12,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB3_A#q14,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB3_A#q16,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB3_A#q17,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB3_A#q2,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB3_A#q4,Nair,inferred,PROMOTED_BY_EVIDENCE,ASC-0574,the external compilation reports this examiner asking this question
QB3_A#q6,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB3_A#q7,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB3_A#q9,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB3_B#q1,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB3_B#q10,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB3_B#q12,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB3_B#q17,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB3_B#q19,Nair,inferred,PROMOTED_BY_EVIDENCE,ASC-0575,the external compilation reports this examiner asking this question
QB3_B#q2,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB3_B#q3,Nair,inferred,PROMOTED_BY_EVIDENCE,ASC-0611,the external compilation reports this examiner asking this question
QB3_B#q4,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB3_B#q5,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB3_B#q6,Nair,inferred,PROMOTED_BY_EVIDENCE,ASC-0521,the external compilation reports this examiner asking this question
QB3_B#q7,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB3_B#q8,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB3_B#q9,Nair,inferred,PROMOTED_BY_EVIDENCE,ASC-0601;ASC-0612,the external compilation reports this examiner asking this question
QB3_C#q4,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB3_F#q1,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB3_F#q3,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB3_F#q4,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB3_G#q3,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB3_G#q4,Nair,inferred,PROMOTED_BY_EVIDENCE,ASC-0591,the external compilation reports this examiner asking this question
QB4_A#q1,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB4_A#q11,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB4_A#q12,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB4_A#q13,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB4_A#q14,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB4_A#q15,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB4_A#q16,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB4_A#q18,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB4_A#q2,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB4_A#q3,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB4_A#q6,Nair,inferred,PROMOTED_BY_EVIDENCE,ASC-0416,the external compilation reports this examiner asking this question
QB4_A#q7,Nair,inferred,PROMOTED_BY_EVIDENCE,ASC-0420,the external compilation reports this examiner asking this question
QB4_A#q8,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB4_B#q10,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB4_B#q11,Nair,inferred,PROMOTED_BY_EVIDENCE,ASC-0478;ASC-0679,the external compilation reports this examiner asking this question
QB4_B#q14,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB4_B#q16,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB4_B#q2,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB4_B#q4,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB4_B#q5,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB4_B#q6,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB4_B#q7,Nair,inferred,PROMOTED_BY_EVIDENCE,ASC-0452,the external compilation reports this examiner asking this question
QB4_B#q9,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB4_G#q1,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB4_G#q3,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB4_G#q8,Nair,inferred,PROMOTED_BY_EVIDENCE,ASC-0620,the external compilation reports this examiner asking this question
QB4_G#q9,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB4_H#q10,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB4_H#q11,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB4_H#q2,Nair,inferred,PROMOTED_BY_EVIDENCE,ASC-0451,the external compilation reports this examiner asking this question
QB4_H#q3,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB4_H#q4,Nair,inferred,PROMOTED_BY_EVIDENCE,ASC-0558,the external compilation reports this examiner asking this question
QB4_H#q5,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB4_H#q6,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB4_H#q7,Nair,inferred,PROMOTED_BY_EVIDENCE,ASC-0513,the external compilation reports this examiner asking this question
QB4_H#q8,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB4_H#q9,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB7_C#q1,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB7_E#q4,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB7_F#q1,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB9_A#q1,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB9_A#q2,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB9_A#q5,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB9_A#q6,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB9_A#q7,Nair,inferred,PROMOTED_BY_EVIDENCE,ASC-0401;ASC-0404;ASC-0500;ASC-0561,the external compilation reports this examiner asking this question
QB9_B#q1,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB9_B#q5,Nair,inferred,PROMOTED_BY_EVIDENCE,ASC-0685,the external compilation reports this examiner asking this question
QB9_E#q1,Nair,inferred,PROMOTED_BY_EVIDENCE,ASC-0436,the external compilation reports this examiner asking this question
QB9_E#q10,Nair,inferred,PROMOTED_BY_EVIDENCE,ASC-0589,the external compilation reports this examiner asking this question
QB9_E#q12,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB9_E#q3,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB9_E#q5,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB9_E#q7,Nair,inferred,PROMOTED_BY_EVIDENCE,ASC-0650,the external compilation reports this examiner asking this question
QB9_E#q8,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB9_F#q10,Nair,inferred,PROMOTED_BY_EVIDENCE,ASC-0413,the external compilation reports this examiner asking this question
QB9_F#q11,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB9_F#q2,Nair,inferred,PROMOTED_BY_EVIDENCE,ASC-0654,the external compilation reports this examiner asking this question
QB9_F#q3,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB9_F#q4,Nair,inferred,PROMOTED_BY_EVIDENCE,ASC-0557,the external compilation reports this examiner asking this question
QB9_F#q5,Nair,inferred,PROMOTED_BY_EVIDENCE,ASC-0406;ASC-0580,the external compilation reports this examiner asking this question
QB9_F#q6,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB9_F#q8,Nair,inferred,PROMOTED_BY_EVIDENCE,ASC-0409;ASC-0600,the external compilation reports this examiner asking this question
QB9_F#q9,Nair,inferred,PROMOTED_BY_EVIDENCE,ASC-0486,the external compilation reports this examiner asking this question
QB9_H#q2,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB9_H#q4,Nair,inferred,PROMOTED_BY_EVIDENCE,ASC-0475;ASC-0548,the external compilation reports this examiner asking this question
QB9_H#q8,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB9_H#q10,Paul,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB1_C#q4,Rajappan,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB1_H#q1,Rajappan,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB1_H#q2,Rajappan,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB1_H#q3,Rajappan,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB1_H#q4,Rajappan,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB1_H#q5,Rajappan,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB1_supplementary#q1,Rajappan,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB1_supplementary#q10,Rajappan,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB1_supplementary#q11,Rajappan,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB1_supplementary#q12,Rajappan,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB1_supplementary#q13,Rajappan,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB1_supplementary#q14,Rajappan,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB1_supplementary#q15,Rajappan,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB1_supplementary#q16,Rajappan,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB1_supplementary#q17,Rajappan,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB1_supplementary#q18,Rajappan,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB1_supplementary#q19,Rajappan,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB1_supplementary#q2,Rajappan,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB1_supplementary#q20,Rajappan,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB1_supplementary#q3,Rajappan,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB1_supplementary#q5,Rajappan,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB1_supplementary#q7,Rajappan,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB1_supplementary#q8,Rajappan,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB1_supplementary#q9,Rajappan,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB2_A#q1,Senthil,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB2_A#q10,Senthil,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB2_A#q11,Senthil,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB2_A#q12,Senthil,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB2_A#q14,Senthil,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB2_A#q15,Senthil,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB2_A#q19,Senthil,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB2_A#q2,Senthil,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB2_A#q22,Senthil,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB2_A#q23,Senthil,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB2_A#q24,Senthil,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB2_A#q25,Senthil,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB2_A#q26,Senthil,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB2_A#q27,Senthil,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB2_A#q28,Senthil,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB2_A#q29,Senthil,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB2_A#q3,Senthil,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB2_A#q30,Senthil,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB2_C#q1,Senthil,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB2_C#q2,Senthil,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB2_C#q3,Senthil,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB2_C#q4,Senthil,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB2_F#q2,Senthil,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB2_F#q4,Senthil,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB2_F#q5,Senthil,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB2_F#q6,Senthil,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB2_A#q1,Simon,inferred,PROMOTED_BY_EVIDENCE,ASC-0251,the external compilation reports this examiner asking this question
QB2_A#q10,Simon,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB2_A#q11,Simon,inferred,PROMOTED_BY_EVIDENCE,ASC-0381,the external compilation reports this examiner asking this question
QB2_A#q12,Simon,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB2_A#q14,Simon,inferred,PROMOTED_BY_EVIDENCE,ASC-0238;ASC-0293,the external compilation reports this examiner asking this question
QB2_A#q15,Simon,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB2_A#q19,Simon,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB2_A#q2,Simon,inferred,PROMOTED_BY_EVIDENCE,ASC-0150,the external compilation reports this examiner asking this question
QB2_A#q22,Simon,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB2_A#q23,Simon,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB2_A#q24,Simon,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB2_A#q25,Simon,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB2_A#q26,Simon,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB2_A#q27,Simon,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB2_A#q28,Simon,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB2_A#q29,Simon,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB2_A#q3,Simon,inferred,PROMOTED_BY_EVIDENCE,ASC-0258,the external compilation reports this examiner asking this question
QB2_A#q30,Simon,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB2_C#q1,Simon,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB2_C#q2,Simon,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB2_C#q3,Simon,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB2_C#q4,Simon,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB2_F#q2,Simon,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB2_F#q4,Simon,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB2_F#q5,Simon,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB5_A#q11,Simon,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB5_A#q13,Simon,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB5_A#q14,Simon,inferred,PROMOTED_BY_EVIDENCE,ASC-0378,the external compilation reports this examiner asking this question
QB5_A#q20,Simon,inferred,PROMOTED_BY_EVIDENCE,ASC-0167;ASC-0171;ASC-0177;ASC-0232,the external compilation reports this examiner asking this question
QB5_A#q4,Simon,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB5_A#q9,Simon,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB5_B#q10,Simon,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB5_B#q12,Simon,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB5_B#q14,Simon,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB5_B#q15,Simon,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB5_B#q16,Simon,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB5_B#q2,Simon,inferred,PROMOTED_BY_EVIDENCE,ASC-0366,the external compilation reports this examiner asking this question
QB5_B#q3,Simon,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB5_B#q4,Simon,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB5_B#q5,Simon,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB5_C_A#q1,Simon,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB5_C_A#q2,Simon,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB5_C_A#q3,Simon,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB5_C_A#q4,Simon,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB5_C_A#q5,Simon,inferred,PROMOTED_BY_EVIDENCE,ASC-0340,the external compilation reports this examiner asking this question
QB5_C_A#q6,Simon,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB5_C_A#q9,Simon,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB5_C_B#q1,Simon,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB5_G#q1,Simon,inferred,PROMOTED_BY_EVIDENCE,ASC-0294,the external compilation reports this examiner asking this question
QB5_G#q2,Simon,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB5_G#q3,Simon,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB5_G#q4,Simon,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB5_G#q5,Simon,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB3_A#q1,Srivastava,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB3_A#q12,Srivastava,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB3_A#q14,Srivastava,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB3_A#q16,Srivastava,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB3_A#q17,Srivastava,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB3_A#q2,Srivastava,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB3_A#q4,Srivastava,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB3_A#q6,Srivastava,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
